gene	p
AC111200.1	0.9998
AC006022.4	0.9996
CTD-2298J14.1	0.9989
RN7SL345P	0.9989
AHCYP3	0.9986
GBP2	0.9981
PTGES3P1	0.9981
RN7SL700P	0.998
SFR1	0.998
RP11-659E9.2	0.998
RP11-486E2.1	0.9979
RNA5SP273	0.9975
CACYBPP3	0.9971
CTC-325J23.2	0.9967
AL158111.1	0.9967
MTRNR2L2	0.999952226256449
AC092570.4	0.9965
CTC-479C5.10	0.9965
NRN1L	0.9965
PCNAP4	0.9961
KRT8P12	0.996
RP11-204K16.1	0.9959
AP001816.1	0.9956
MIR1255A	0.9956
DTX2	0.995
GCHFR	0.9948
SUMO2P15	0.9948
RN7SKP281	0.9942
RNU6-930P	0.9942
RP11-846F4.11	0.9942
RP11-271K11.1	0.9939
RNU6-412P	0.9933
AC018867.1	0.9933
AC018867.2	0.9933
LAMTOR3P1	0.9931
RPL29P28	0.9931
AL359091.2	0.9929
RP11-339B21.14	0.9929
RP11-339B21.15	0.9929
MIR3167	0.9929
RP11-382D12.2	0.9926
AC090133.1	0.9925
AC021205.1	0.9925
RP11-59H1.4	0.992
AL513123.1	0.9919
GNL1	0.9918
PRR3	0.9918
PTP4A1P2	0.9912
RP11-386I8.6	0.9912
ZNF84	0.9912
EEF1A1P11	0.999808905025798
AC109925.1	0.9909
AC010203.1	0.9909
GOLGA2P5	0.9909
RN7SL176P	0.9909
RP11-276H7.3	0.9907
PRSS8	0.9906
RP11-388M20.2	0.9906
MIR5582	0.9906
SNORD67	0.9906
RP11-258F22.1	0.999764806185597
RP11-258F22.2	0.999764806185597
ZNF33BP1	0.999764806185597
RP11-453N3.1	0.9903
RPS27P1	0.9902
RPL23AP10	0.9902
RFNG	0.99
PPWD1	0.9899
RP11-1023P17.2	0.9898
AC069213.4	0.9895
HOXD8	0.9892
LINC00919	0.989
AC068896.1	0.9889
KIAA1107	0.9887
RP4-621B10.8	0.9887
RP11-61D3.1	0.9887
PDLIM1P4	0.999687633215246
AC026166.2	0.9881
RP11-295G12.1	0.9879
CTSA	0.9878
RP3-337O18.9	0.9878
OR5AK2	0.9874
OR4K8P	0.9872
AC013449.1	0.9872
AC010297.1	0.987
IL17C	0.987
LRG_52	0.987
RP11-578F21.12	0.9869
RP11-1365D11.1	0.999632509664996
CBLC	0.9864
IGLCOR22-2	0.9863
RFPL3	0.9863
LETM1P2	0.9861
RP11-383G6.3	0.9859
RP11-388G3.1	0.9858
RP11-6B19.2	0.9858
AC103816.1	0.9857
CTD-2526A2.2	0.9853
RP11-148K1.10	0.9848
RP1-283K11.3	0.9847
CRH	0.9846
RN7SKP278	0.9845
EBLN1	0.9845
AL358354.1	0.9845
AC092756.1	0.9844
RP11-162I7.1	0.9841
ZBTB41	0.984
CTC-550B14.8	0.9837
PABPC1P2	0.9836
C22ORF42	0.9836
RP11-733D4.2	0.9836
SPDL1	0.9834
RP11-314A5.3	0.9834
DESI1	0.9834
RP11-389C8.2	0.9832
RP11-91K8.2	0.983
RP11-1376P16.2	0.983
LA16C-361A3.3	0.9829
AC092038.2	0.9827
RNU6-1120P	0.9826
AC073528.1	0.9825
RP11-515E23.2	0.9822
AC117401.1	0.9822
LDHAL6EP	0.982
CTD-2162K18.5	0.9819
ZNF790	0.9819
LACRT	0.9818
AC016700.2	0.9817
PCBP1	0.9817
HSPB9	0.9817
SCYL1	0.9815
RP11-13A1.1	0.9814
AC011899.10	0.9814
AC026797.1	0.981
C17ORF89	0.9809
AC018690.1	0.9807
RP11-27I1.6	0.9806
RP11-312P12.3	0.9806
ATP5G1P5	0.9806
HILPDA	0.9803
MIR4490	0.9802
HNRNPA1P10	0.9801
RNU6-1057P	0.9797
RP11-419L20.2	0.9796
AC025175.1	0.9792
AL513547.1	0.9791
MED4	0.9787
MED4-AS1	0.9787
ZDHHC5	0.99913272280939
CYCSP52	0.9787
RP11-255E6.5	0.9784
MIR4325	0.978
RP3-481F12.1	0.978
GCNT1P2	0.978
CTC-303L1.1	0.978
RP11-168P8.3	0.9779
RP11-7O14.1	0.9778
RP11-354E23.5	0.9778
RN7SL470P	0.99909964867924
EEF1GP8	0.99909229887254
RP11-802H3.2	0.9776
RP11-446H13.2	0.9775
CYB561	0.9775
RP11-269G24.6	0.9775
MIR4651	0.9774
RPL7L1P3	0.9774
TOMM20L	0.9774
AC078852.1	0.9771
AC078852.2	0.9771
RP11-293K19.1	0.977
RP11-960D24.1	0.9769
LINC00029	0.9769
RP11-109J4.1	0.9768
AL136123.1	0.9767
RP5-894A10.6	0.9765
RP11-11M20.2	0.9764
LCE1D	0.9763
RP11-143I21.1	0.9762
SUMF2	0.9762
RP11-200A13.2	0.9761
CTC-428G20.1	0.976
RP11-274E7.2	0.9757
RP11-713D19.1	0.9757
FEN1P1	0.9756
AC136188.1	0.9755
NAMPTL	0.9754
AP1M2	0.9752
ISL1	0.9751
GS1-388B5.8	0.9749
RN7SKP238	0.9748
RP11-93H12.4	0.9748
AC023271.1	0.9748
AL137846.1	0.9747
NABP1	0.9744
RN7SL40P	0.998801981507886
RP11-552M11.8	0.9744
KRT8P45	0.9743
AC015849.14	0.9742
C17ORF66	0.9742
SLC25A38P1	0.9742
SPATA25	0.9742
ZSWIM1	0.9742
RN7SKP284	0.9739
PIGPP2	0.9739
RPS15AP7	0.9739
RP11-151D14.1	0.9739
LRG_378	0.9737
SEMA3G	0.9737
TNNC1	0.9737
DPRXP1	0.9737
ZC3H15	0.998754207764336
AC096677.1	0.9735
AC005534.8	0.9734
RP11-467I20.6	0.9731
WFIKKN1	0.9729
CTB-83J4.2	0.9727
C16ORF91	0.9726
RP11-335L23.2	0.999878728189449
OR5H5P	0.9722
RNU2-28P	0.9721
RP11-393M11.2	0.999871378382749
RP11-50D9.1	0.9719
TRAV7	0.9718
EEF1B2P5	0.9717
RP11-390G14.1	0.9715
EBI3	0.9714
RNU5E-6P	0.9713
C11ORF68	0.9712
FOSL1	0.9712
RP11-408E5.4	0.998474915109733
TUBA3C	0.998474915109733
RP11-697E22.1	0.971
RPS17P13	0.9709
RP1-46F2.2	0.998438166076232
RP1-46F2.3	0.998438166076232
RN7SL364P	0.9707
MIR5583-1	0.998397742139382
RNU6-1242P	0.998397742139382
RPS17L	0.9704
SCOCP1	0.9704
LYST-AS1	0.9702
PFN1P10	0.9701
RPS2P32	0.9701
RNU6-1001P	0.9697
OR6C2	0.9694
RP11-57I17.3	0.9694
RP11-439L8.2	0.9693
AC114812.9	0.9691
DNAJB3	0.9691
RNA5SP304	0.99821399697188
RP11-557C9.1	0.9688
RP11-557C9.3	0.9688
CTC-484M2.1	0.9688
AC096887.1	0.9687
SERBP1P3	0.9687
RP11-265N6.1	0.9686
TNFRSF18	0.9686
MIR4318	0.9686
TRIM62	0.9685
AP001257.1	0.9684
CTD-2006H14.2	0.9682
RP11-10N23.2	0.9682
XRCC6	0.998133149098179
RNU6-1292P	0.9681
MIR4491	0.9681
RP11-40C11.2	0.9681
AC009041.1	0.9679
RP11-161M6.5	0.9679
AC022872.1	0.9678
RNU2-65P	0.9678
RP11-390D11.2	0.9678
TMEM168	0.9677
PRDX4P1	0.9673
MIR216A	0.9672
BCDIN3D	0.9666
WDFY3-AS1	0.9665
OFD1P17	0.9664
RP11-686O6.2	0.966
RP11-707F2.2	0.9659
PSMC1P13	0.9659
NDUFB2-AS1	0.9658
AC020626.1	0.9658
LAMTOR5	0.9656
AC091320.1	0.9654
ASCL3	0.9653
MIR609	0.9652
OR2A13P	0.9651
AC080094.1	0.965
RP11-424M21.1	0.965
RNU6-208P	0.997776683473225
RNU6-83P	0.9648
RP11-95M15.1	0.9645
AL137800.1	0.9645
HSPE1P9	0.997710535212924
RP1-7G5.5	0.9643
TMPO-AS1	0.997703185406224
RP11-473M20.9	0.9641
CLEC6A	0.964
RP11-113C12.2	0.964
AC083875.1	0.9639
RP11-425A23.1	0.9635
AC092316.1	0.997614987725823
AC092316.2	0.997614987725823
HIST1H2APS6	0.9635
OR7E33P	0.9635
RPS2P4	0.9634
AC009303.3	0.9633
RNU4-76P	0.9632
RP11-510M2.5	0.9632
OR4A15	0.963
RP3-407E4.4	0.9625
RP1-155G6.4	0.9624
CTD-2526M8.2	0.9624
TPRX1P1	0.9623
CTB-25B13.13	0.9622
CHPF	0.99739081862147
TMEM198	0.99739081862147
AC018463.5	0.9611
SNX18P3	0.961
CGREF1	0.999676608505196
RNU6-845P	0.9605
RP11-521P1.1	0.9604
OR6K1P	0.9604
RP11-9G1.3	0.9602
AC079987.2	0.9601
RP11-177G23.2	0.997093151450117
RP11-342L8.2	0.997093151450117
MIR3692	0.9596
PRSS3	0.9595
TRBV29OR9-2	0.9595
RP11-12N13.2	0.9593
RP1-39G22.4	0.9592
ZNF648	0.9591
RP5-1022P6.3	0.959
AC067735.1	0.959
RP11-396F22.1	0.959
AC143336.1	0.9589
CKS1BP5	0.9589
RP11-98G13.1	0.9588
RMRPP3	0.9586
RP11-265F19.1	0.9585
MIR4706	0.9584
RPL29P11	0.9584
GAPDHP51	0.9583
SLC25A6P3	0.9583
RP11-337A23.6	0.9579
AC069157.1	0.9577
RP11-299H22.1	0.9577
RPL17P20	0.9576
AC105761.1	0.9576
RNU6-685P	0.9576
MIR1302-4	0.9576
RP11-399N22.3	0.9575
R3HDM2P2	0.9575
GCM2	0.9572
RP11-241I20.1	0.9569
AC118344.1	0.996766085051963
SNORD116-1	0.9568
SNORD116-2	0.9568
SNORD116-3	0.9568
SNORD116-5	0.9568
SNORD116-6	0.9568
RP11-723O4.3	0.9568
