gene	p	score
PRB1	1	-9
RP11-332G1.1	0.9998	-3.54008379920617
GSTK1	0.9998	-3.54008379920617
COX5BP2	0.9998	-3.54008379920617
ILF3	0.9997	-3.4316144036233
AC040160.1	0.9996	-3.35279478050486
AC002386.1	0.9994	-3.23888011835296
AC110084.1	0.9994	-3.23888011835296
RP11-104D3.2	0.9992	-3.15590675792181
RP11-432J24.5	0.9991	-3.12138914935986
RP11-767L7.2	0.9991	-3.12138914935986
RNU4-38P	0.9991	-3.12138914935986
RP11-379K17.9	0.9991	-3.12138914935986
CTD-3234P18.2	0.999	-3.09023230616781
MIR4482-1	0.999	-3.09023230616781
MIR449A	0.999	-3.09023230616781
MIR449B	0.999	-3.09023230616781
MIR449C	0.999	-3.09023230616781
IFNA21	0.9989	-3.06181415176176
AL031768.1	0.9988	-3.03567236662708
RP11-468E2.9	0.9987	-3.01145375849979
RNU6-110P	0.9987	-3.01145375849979
NUDC	0.9986	-2.9888822673158
CTD-2647E9.1	0.9986	-2.9888822673158
RP11-429H9.4	0.9984	-2.9478425521849
AC114755.5	0.9983	-2.92904974893762
AC114755.7	0.9983	-2.92904974893762
LRG_101	0.9982	-2.911237726243
RFX5	0.9982	-2.911237726243
RP11-126K1.6	0.9982	-2.911237726243
ZNF408	0.9979	-2.86273626350591
AC062016.3	0.9978	-2.84796328748792
ENKUR	0.9978	-2.84796328748792
AC087650.1	0.9977	-2.83378687004355
RNU6-971P	0.9977	-2.83378687004355
MIR568	0.9976	-2.82015805932016
RP11-537E18.1	0.9975	-2.80703376834381
RP3-453D15.1	0.9975	-2.80703376834381
OR8J1	0.9974	-2.79437586878103
RPL5P29	0.9974	-2.79437586878103
SNORD115-48	0.9974	-2.79437586878103
RP11-63E5.6	0.9968	-2.7265513165044
RP11-214K3.18	0.9968	-2.7265513165044
RP11-214K3.19	0.9968	-2.7265513165044
RP11-214K3.20	0.9968	-2.7265513165044
RP11-214K3.21	0.9968	-2.7265513165044
RP11-214K3.22	0.9968	-2.7265513165044
RP11-214K3.23	0.9968	-2.7265513165044
RP11-252K23.2	0.9968	-2.7265513165044
RP11-386O9.2	0.9967	-2.71638058346087
PLEKHM1	0.9966	-2.70648331190426
OR13I1P	0.9965	-2.69684426087813
RNU6-175P	0.9962	-2.66934209179252
RP3-382I10.3	0.9961	-2.66060673878077
ST13P16	0.9961	-2.66060673878077
RNU1-63P	0.9955	-2.61205414122928
RP11-584P21.2	0.9955	-2.61205414122928
RP1-81D8.3	0.9954	-2.60453136462719
RNU6-904P	0.9954	-2.60453136462719
RP11-8L8.2	0.9954	-2.60453136462719
RP1-182O16.1	0.9953	-2.59715315803855
RP11-404E16.1	0.9953	-2.59715315803855
RP3-453I5.2	0.9951	-2.58280745200824
RNU6-472P	0.9949	-2.56897437388739
RP11-344H11.4	0.9947	-2.55561607737021
RP11-423C15.3	0.9947	-2.55561607737021
AC099684.1	0.9946	-2.54910428370618
CTD-2545H1.1	0.9946	-2.54910428370618
CDIPT	0.9945	-2.54269881939905
RP11-95I16.4	0.9944	-2.53639601321496
AL021394.1	0.9943	-2.53019238385703
ZNF461	0.9942	-2.52408462699198
THNSL1	0.999916047349295	-3.76297305057318
RP11-402L1.12	0.9936	-2.48928586478724
RP11-402L1.4	0.9936	-2.48928586478724
RP11-684B20.1	0.9935	-2.48376929325053
AC012075.1	0.9934	-2.47832728917097
RP11-867G23.8	0.9933	-2.47295770662439
SLC29A2	0.9933	-2.47295770662439
RP11-502I4.3	0.9933	-2.47295770662439
RP11-10K17.6	0.9929	-2.45216381405329
AC107025.1	0.9928	-2.44712722168416
CTD-2331H12.7	0.9928	-2.44712722168416
