gene	p
RP11-204K16.1	1
RNU6-110P	0.9999
RNU4-38P	0.9998
RP11-379K17.9	0.9998
RP11-684B20.1	0.9997
AC020571.3	0.9997
RP11-659G9.1	0.9996
AREGB	0.9996
RP11-727M10.2	0.9996
RP11-344H11.4	0.9995
AC092574.2	0.9994
MIR449A	0.9994
MIR449B	0.9994
MIR449C	0.9994
AC087650.1	0.9992
RNU6-971P	0.9992
RP11-136B18.2	0.9992
COX5BP2	0.9989
RNU6-175P	0.9987
LRG_101	0.9986
RFX5	0.9986
RP11-126K1.6	0.9986
RNU6-472P	0.9986
RP11-429H9.4	0.9985
MIR568	0.9985
RPL31P40	0.9985
AC016691.2	0.9983
RP11-424M21.1	0.9981
RP11-126K1.2	0.998
ZNF687	0.998
LINC00645	0.998
RP11-646D13.1	0.9979
RNU1-63P	0.9978
RP11-584P21.2	0.9978
SNORD115-48	0.9978
RP11-104D3.2	0.9977
PRB1	0.9973
RP11-214K3.18	0.9972
RP11-214K3.19	0.9972
RP11-214K3.20	0.9972
RP11-214K3.21	0.9972
RP11-214K3.22	0.9972
RP11-214K3.23	0.9972
RP11-332G1.1	0.9971
CTD-2647E9.1	0.9969
EBI3	0.9969
RP3-453D15.1	0.9968
MIR4715	0.9968
AC107025.1	0.9965
AC099684.1	0.9965
CTD-2545H1.1	0.9965
RP11-454L1.2	0.9965
RNU7-194P	0.9964
RP11-360I20.2	0.9964
AC012075.1	0.9961
CTD-3234P18.2	0.9959
ZNF461	0.9959
RP1-182O16.1	0.9957
RP11-63E5.6	0.9956
RP11-468E2.9	0.9955
AL031768.1	0.9953
AC114755.5	0.9953
AC114755.7	0.9953
TAS2R38	0.9951
AC005722.4	0.995
AC002386.1	0.9949
AC110084.1	0.9945
AC040160.1	0.9944
CDIPT	0.9943
RP1-81D8.3	0.9943
RP11-404E16.1	0.9943
PLEKHM1	0.9942
RP11-423C15.3	0.9941
NUDC	0.994
FAM163B	0.994
AC092664.1	0.9939
AC016178.1	0.9938
AC016178.2	0.9938
HSA-MIR-3669	0.9938
IFNA21	0.9938
ENKUR	0.9937
MIR4482-1	0.9937
RP11-231E19.1	0.9937
SNRNP40	0.9937
RP11-537E18.1	0.9935
RP11-973H7.3	0.9935
RNU6-833P	0.9934
BOD1L2	0.9933
AL021394.1	0.9933
HSP90AA4P	0.9931
RP11-84A14.5	0.993
BPIFA1	0.9929
RP3-382I10.3	0.9928
ST13P16	0.9928
FOXH1	0.9927
KIFC2	0.9927
RP11-472K22.2	0.9926
OR13I1P	0.9924
RP11-402L1.12	0.9924
RP11-402L1.4	0.9924
RNU6-301P	0.9917
AC023237.1	0.9916
RNA5SP300	0.9915
AC062016.3	0.9914
FAM46B	0.9913
TRNP1	0.9913
RP3-453I5.2	0.9912
AC090720.1	0.9911
GRIN1	0.9911
RP11-166O4.5	0.9911
RPL23AP35	0.991
RP11-432J24.5	0.9909
THNSL1	0.999868074406035
RP11-92B11.4	0.9907
RP11-484D2.2	0.9907
MDM4	0.9905
RP11-430C7.2	0.9905
GSTK1	0.9904
RP11-386O9.2	0.9904
RP11-502I4.3	0.9903
ZNF408	0.9903
RP11-300E4.2	0.99
RP11-252K23.2	0.9897
KCNIP2-AS1	0.9895
RP11-416L21.2	0.9894
RP11-95I16.4	0.9893
RP11-543G18.1	0.9893
RP5-1042K10.12	0.9891
AC010525.1	0.9891
AC010525.4	0.9891
AC010525.6	0.9891
AC010525.7	0.9891
RP11-8L8.2	0.9891
RNU6-315P	0.9891
RP11-360A18.1	0.9888
RP11-32P22.1	0.9888
LRFN1	0.9886
RP5-1049G16.4	0.9884
C15ORF39	0.9883
RPL36AP45	0.9883
RP11-478C6.6	0.9881
OR2M4	0.9881
SEPT10P1	0.988
OR8J1	0.9877
RPL5P29	0.9877
RNU6-904P	0.9875
CTD-2331H12.7	0.9875
ZNF321P	0.9875
ZNF816	0.9875
ZNF816-ZNF321P	0.9875
KB-1043D8.8	0.9874
RP11-767L7.2	0.9873
GRPEL2P1	0.9871
AL590007.1	0.987
RNU6-56P	0.987
RP11-230C9.4	0.9869
ILF3	0.9867
OR5AK3P	0.9862
LSM5	0.9861
RP11-867G23.8	0.986
SLC29A2	0.986
SLMO2P1	0.9859
MTMR4	0.9857
DTWD1	0.9856
TPI1P1	0.9849
AC005624.2	0.9846
RNU6-470P	0.9845
PAQR6	0.9844
LAMTOR2	0.9842
LRG_81	0.9842
RP11-10K17.6	0.9839
AC079776.3	0.9838
AC079776.4	0.9838
RP11-379P15.1	0.9834
OR2T33	0.9832
CCR8	0.9831
HNRNPA1P21	0.9831
MAS1L	0.9831
RPS17P1	0.9831
RN7SKP157	0.9831
CDR2L	0.9829
RP3-410C9.2	0.9828
RP11-375I20.6	0.9827
RP11-236L14.1	0.9826
PAPPA-AS1	0.9825
SMC3	0.9824
RP11-283I3.4	0.9824
RP11-283I3.6	0.9824
RNU6-600P	0.999464302133597
LINC01093	0.9822
RP11-489G11.3	0.9821
BANF1P3	0.9821
RP11-530A18.1	0.9821
IGKV1D-17	0.9819
AL049542.1	0.9818
RN7SL733P	0.9817
RPS29P20	0.9817
RNU6-1113P	0.9815
TJAP1	0.9815
RN7SKP215	0.9814
CCNT2P1	0.9812
RP11-562F9.2	0.9809
DPPA5P1	0.9807
HNRNPA1P68	0.9806
AC013472.3	0.999336374284903
AC013472.4	0.999972015783098
MAPRE3	0.999972015783098
CCDC85B	0.9803
FIBP	0.9803
MAPKAPK5P1	0.9803
RNU6-925P	0.98
SNRPGP6	0.98
RP11-438C19.1	0.9798
RP11-89A16.1	0.9798
IGLVIV-59	0.9798
IGLVV-58	0.9798
RP1-288M22.1	0.9798
RPL21P9	0.9794
AC006483.1	0.9791
RP11-148B18.4	0.979
LDOC1L	0.9789
AC009955.8	0.9787
CTD-2154H6.1	0.999196453200395
SLC2A3P4	0.9784
FABP5P4	0.9784
LINC01021	0.9783
SAPCD1-AS1	0.9783
VWA7	0.9783
HMGN1P14	0.9782
GPT2	0.9782
RP5-1041C10.3	0.9781
FAR1P1	0.9779
KRT8P18	0.9779
RPL31P58	0.9779
OR5H2	0.9778
RP11-132A1.3	0.9776
USP6	0.999076520842245
RP11-325K19.6	0.99906452760643
DUTP5	0.9773
TPT1P6	0.9773
AC092620.2	0.9773
RP1-253P7.1	0.9773
SMCR5	0.9773
RP11-99L13.2	0.9771
RNY4P16	0.977
RNU6-743P	0.9769
DNAJC22	0.9768
GOLGA2	0.9766
SWI5	0.9766
RN7SL470P	0.9765
RP11-109L13.5	0.9765
MIR4304	0.9764
RN7SL133P	0.9764
RP11-385J23.1	0.9764
RNA5SP260	0.9763
CDKN2AIPNLP2	0.9762
PWAR6	0.9761
RP11-701H24.3	0.9761
RP11-136H13.2	0.976
RP11-1046B16.1	0.9758
AC093702.1	0.9755
ZNF367	0.998856644852303
SNRPGP14	0.9752
RP11-517O13.3	0.9752
FAM96AP2	0.9752
C6ORF25	0.9751
DDAH2	0.9751
LY6G6C	0.9751
RP11-91J3.3	0.975
RN7SL845P	0.975
RNU4-28P	0.999920045094567
RDH12	0.998784685437413
RP11-1012A1.10	0.9745
AC004129.7	0.9745
RP4-672N11.1	0.9742
RP11-258F22.1	0.9738
RP11-258F22.2	0.9738
ZNF33BP1	0.9738
RP11-188P20.3	0.9738
SNRK-AS1	0.9738
RP11-156G14.6	0.9735
RP11-47J17.3	0.99870473053198
RP11-509M23.1	0.9735
RANBP2	0.9734
AC132807.1	0.9731
KLF4	0.9731
AC022596.2	0.973
COTL1P1	0.973
KRT17P1	0.973
HSBP1L1	0.973
BRI3	0.9729
RP11-357G3.2	0.9728
KIRREL2	0.9727
RP11-295B17.6	0.9726
VIL1	0.9725
RP11-21C17.1	0.9724
RN7SL114P	0.9724
AC079235.1	0.9724
AC090804.1	0.9724
RPL7P17	0.9723
NDUFB2-AS1	0.9723
PFKFB4	0.9723
UCN2	0.9723
RNU6-735P	0.9723
RPL36AP21	0.9721
HBB	0.972
RP11-291H24.1	0.972
RP11-76N22.1	0.972
