gene	p	score
AC025811.2	1	-9
AC008440.5	0.9999	-3.71901648545571
RPS10P16	0.9998	-3.54008379920617
MIR548W	0.9996	-3.35279478050486
RNA5SP405	0.9996	-3.35279478050486
AC092811.1	0.9992	-3.15590675792181
LYPLA1P3	0.999	-3.09023230616781
RN7SKP167	0.999	-3.09023230616781
RP11-728L1.1	0.9989	-3.06181415176176
TMEM214	0.9989	-3.06181415176176
RN7SL111P	0.9989	-3.06181415176176
CLN6	0.9985	-2.96773792534179
MIR553	0.9985	-2.96773792534179
CCNJP2	0.9978	-2.84796328748792
RP11-330C7.4	0.9978	-2.84796328748792
AC090044.2	0.9978	-2.84796328748792
RNU6-470P	0.9977	-2.83378687004355
TPRA1	0.9977	-2.83378687004355
U73166.2	0.9974	-2.79437586878103
OR4K16P	0.9974	-2.79437586878103
RNA5SP429	0.9973	-2.7821504537846
RP11-219D15.3	0.9973	-2.7821504537846
RP11-561N12.1	0.9973	-2.7821504537846
RPL17P42	0.9972	-2.77032723335217
AC092338.5	0.9971	-2.75887903454714
RRN3P3	0.9971	-2.75887903454714
U4	0.9968	-2.7265513165044
RNU2-28P	0.9968	-2.7265513165044
MALSU1	0.9967	-2.71638058346087
LA16C-444G7.1	0.9967	-2.71638058346087
RP11-119H12.1	0.9961	-2.66060673878077
RP11-357F12.1	0.9958	-2.63555423819034
RP11-201O14.2	0.9955	-2.61205414122928
RNU2-52P	0.9955	-2.61205414122928
APOOP1	0.9953	-2.59715315803855
MIR3166	0.9951	-2.58280745200824
CASC10	0.9951	-2.58280745200824
MIR1915	0.9951	-2.58280745200824
AC025750.5	0.9951	-2.58280745200824
AC025750.6	0.9951	-2.58280745200824
RP11-406H23.2	0.9951	-2.58280745200824
RNU4-17P	0.9949	-2.56897437388739
RN7SL65P	0.9948	-2.56223807575215
RP11-25D10.1	0.9947	-2.55561607737021
HIST1H2APS1	0.9947	-2.55561607737021
HIST1H2BPS1	0.9947	-2.55561607737021
INO80B	0.9947	-2.55561607737021
WBP1	0.9947	-2.55561607737021
AC046143.1	0.999955901159799	-3.92095787770355
RP11-344L13.1	0.9945	-2.54269881939905
RP11-462L8.2	0.9944	-2.53639601321496
CTD-2376I4.1	0.9942	-2.52408462699198
CTD-2376I4.2	0.9942	-2.52408462699198
RP11-747H7.1	0.9936	-2.48928586478724
RP11-215A21.2	0.9933	-2.47295770662439
MIR548N	0.9932	-2.46765849254068
SEPHS2P1	0.9931	-2.4624276813832
RP11-16E23.3	0.9931	-2.4624276813832
AC074138.3	0.9929	-2.45216381405329
RP11-297M9.2	0.9929	-2.45216381405329
AC005785.2	0.9929	-2.45216381405329
AKAP8	0.9929	-2.45216381405329
SS18L2P1	0.9928	-2.44712722168416
CTB-176F20.3	0.9926	-2.43723640821009
LFNG	0.9923	-2.42283310188928
MIR4648	0.9923	-2.42283310188928
KLRC1	0.9921	-2.41350294958848
RP11-815J21.3	0.9921	-2.41350294958848
FKBP1C	0.9921	-2.41350294958848
DTX2P1	0.992	-2.40891554581546
DTX2P1-UPK3BP1-PMS2P11	0.992	-2.40891554581546
PMS2P11	0.992	-2.40891554581546
UPK3BP1	0.992	-2.40891554581546
RN7SL364P	0.992	-2.40891554581546
FLT3LG	0.999915477222949	-3.7612807585709
OR10J8P	0.9918	-2.39988998429142
VTI1BP4	0.9915	-2.38670773449225
RP4-672N11.1	0.9913	-2.3781446232807
RP5-902P8.10	0.9912	-2.37392762389816
SCNN1D	0.9912	-2.37392762389816
RP11-30P6.6	0.9911	-2.36975242236699
H2AFZP4	0.991	-2.36561812686429
DDX18P5	0.9909	-2.36152387431014
RP11-567O18.1	0.9909	-2.36152387431014
RPSAP57	0.9908	-2.35746882913577
AC003986.6	0.9907	-2.35345218211734
AL353662.4	0.9904	-2.34162491013274
CTD-2649C14.1	0.9902	-2.33391830618362
RNU6-891P	0.999860353672698	-3.63378589343877
VSX2	0.99	-2.32634787404084
RAB11FIP2	0.99	-2.32634787404084
RP11-354M20.3	0.99	-2.32634787404084
CHCHD3P3	0.9899	-2.32261210205392
RP11-285J16.1	0.9897	-2.31523636747114
RP11-432M8.19	0.9896	-2.31159522550325
OR10D1P	0.9894	-2.30440356635946
CTC-281M20.3	0.9894	-2.30440356635946
RP11-573M3.4	0.9894	-2.30440356635946
RP11-386O9.2	0.9891	-2.29383462030633
RP11-809H16.4	0.9889	-2.2869284451213
RN7SL8P	0.9886	-2.27676939560489
RP11-597M12.1	0.9884	-2.27012499802052
HMGN2P13	0.9881	-2.26034253529359
RN7SL292P	0.988	-2.25712924448622
TM2D2	0.999786855605698	-3.52325016345427
UQCRC2P1	0.9877	-2.24762675579514
COMP	0.9876	-2.24450387316539
RN7SL55P	0.9875	-2.24140272760495
RNU6-1267P	0.9874	-2.23832298918463
NPIPA5	0.9872	-2.23222645179064
CTB-83J4.2	0.9872	-2.23222645179064
RP11-95O2.1	0.9868	-2.22027656090954
AC108051.2	0.9867	-2.21733804414672
RNA5SP248	0.9867	-2.21733804414672
RP11-138H8.3	0.9866	-2.21441854999583
RP11-299H22.1	0.9865	-2.21151780918668
CTC-303L1.1	0.9865	-2.21151780918668
GRK1	0.9865	-2.21151780918668
FZD9	0.9864	-2.20863555823422
AC100767.1	0.9861	-2.20009719299989
PRKRIRP4	0.9861	-2.20009719299989
DKK4	0.9852	-2.1754020636764
MIR4708	0.9845	-2.15707270447901
BTBD18	0.9842	-2.14943416009093
C11ORF31	0.9842	-2.14943416009093
TMX2	0.9842	-2.14943416009093
CHCHD2P5	0.9837	-2.13697530803558
MTND4P11	0.9837	-2.13697530803558
RP5-837O21.1	0.9837	-2.13697530803558
RP5-837O21.3	0.9837	-2.13697530803558
RP5-837O21.4	0.9837	-2.13697530803558
RP5-837O21.5	0.9837	-2.13697530803558
RP5-837O21.6	0.9837	-2.13697530803558
RP5-837O21.8	0.9837	-2.13697530803558
RN7SKP170	0.9836	-2.13452291405987
CDC42P5	0.9835	-2.1320832908065
HMGN2P38	0.9834	-2.12965629158796
COQ10BP2	0.9833	-2.1272417722789
ROPN1L-AS1	0.9833	-2.1272417722789
CTD-2528L19.6	0.9833	-2.1272417722789
RP4-682C21.5	0.983	-2.12007168974215
ANKRD39	0.983	-2.12007168974215
SEMA4C	0.983	-2.12007168974215
AC078864.2	0.999551661791295	-3.32108681287508
MIR627	0.9829	-2.11770569800136
HNRNPA3P1	0.9829	-2.11770569800136
RNU6-1144P	0.9827	-2.11300897160803
RP3-412A9.12	0.9827	-2.11300897160803
AC010297.1	0.9825	-2.10835839916911
CCDC9	0.99996692586985	-3.9897310376668
RP5-1022P6.3	0.9823	-2.10375298376659
NIFK	0.9822	-2.10146690736378
RNU6-994P	0.982	-2.09692742916434
SMG8	0.9819	-2.09467379786041
RP11-618K16.4	0.9815	-2.08576406509235
CLEC6A	0.9814	-2.0835622918648
RP11-113C12.2	0.9814	-2.0835622918648
GJA8	0.9813	-2.08137057324551
RP11-439L8.2	0.9813	-2.08137057324551
RP11-89M22.3	0.9813	-2.08137057324551
RP11-473M20.16	0.9813	-2.08137057324551
RP11-367F23.2	0.9812	-2.07918880738819
AC105253.1	0.981	-2.07485473439331
MYCBP2-AS2	0.9805	-2.0641868904004
AC018690.1	0.9802	-2.05789722697915
RP11-158C21.3	0.9801	-2.0558186466124
RP11-686O6.2	0.98	-2.05374891063182
RP11-350G24.2	0.98	-2.05374891063182
