gene	p	score
HSPA1B	0.000113922003851297	3.6859579105228
CXCR6	0.000268267944553036	3.46181998732406
OR7C1	0.000327066398153719	3.40811517019482
FBXO9	0.000385864851754403	3.36274014493562
MYL1	0.000400564465154574	3.35240443825679
CD151	0.000661482603007579	3.21095093604311
SNPH	0.000742330476708464	3.17766517526483
NOTCH4	0.000819503447059389	3.14887428049101
OR1S2	0.000870952093959931	3.13103665290936
PNPLA2	0.000973849387761128	3.09809363793543
RPTN	0.0009826	3.09544170334408
OR7A5	0.00110614590836255	3.06014591336562
ZNF165	0.00116494436196324	3.04460140290814
TNFSF13	0.00121271810551382	3.03249188203211
TNFSF12	0.00121271810551382	3.03249188203211
SHC4	0.00130459068926492	3.01038336285871
OR2V2	0.00150671037351713	2.96636556068353
SAC3D1	0.00178967793147045	2.91303403545416
CLDN6	0.00204692116597338	2.87083879973298
CLDN9	0.00204692116597338	2.87083879973298
NTPCR	0.00205794587602348	2.86914030650167
AGO2	0.00232621382057652	2.83016312735194
INADL	0.00235193814402679	2.82664281996174
LAMC3	0.00245851034117806	2.81242030235147
EXOC3	0.00253200840817891	2.80293312801827
GAP43	0.002895823839833	2.75934995400284
CLEC12A	0.00297667171353388	2.75034012716491
BRSK2	0.00322656514133679	2.72382186107886
CLEC1B	0.00356098134619065	2.69108696447267
HIST1H2BK	0.003564	2.69080427651898
RAE1	0.003618	2.6857833096483
CLEC9A	0.00364917902659156	2.68291480261111
DERL1	0.00372267709359242	2.67623894950723
NOS3	0.00384027400079379	2.66579951922744
DNAJC17	0.00446500757030088	2.61472182781132
GEMIN4	0.00450175660380137	2.61192071350023
MUC5B	0.00468550177130345	2.59821413445394
ARHGAP44	0.00514853959340866	2.5656900594984
THRB	0.0052698114039601	2.55760336999287
OR9Q2	0.00533228476091074	2.55350190511868
ARL3	0.00536535889106116	2.55134781174384
GRB2	0.00553807934851314	2.54028684193279
HSD17B2	0.00581369709976631	2.52325533063806
FRK	0.00621793646827085	2.49952840448108
RPS3A	0.006261	2.49708199144324
CMPK2	0.00630980905202194	2.49432712761844
NFIX	0.00632083376207204	2.49370748757356
THPO	0.00646782989607375	2.48553573853922
RHOH	0.00650457892957412	2.48351849539206
MAP4K5	0.00665892487027586	2.4751546390155
EDIL3	0.00674344764732693	2.47064679519568
CHRD	0.0067801966808273	2.46870241995857
CDCA5	0.00722853488953246	2.44570135219384
HSPA1L	0.00739758044363437	2.43735464951358
KCNH2	0.0074049302503344	2.4369955772043
NDUFS7	0.00744535418718484	2.43502627517724
KCNH8	0.00746372870393508	2.43413425063711
IL2RB	0.00754457657763596	2.43023218126728
NCSTN	0.00812888621029262	2.4030768049158
PDYN	0.00823178350409381	2.39847351578384
AQP5	0.00824280821414392	2.39798330897237
ITGA7	0.00841920357494597	2.39021729265236
SNAPC3	0.00892634023725181	2.36865950655752
PPARA	0.00894838965735201	2.3677467969559
CALM1	0.00959149774360935	2.34195562643966
HIST1H2BJ	0.00959517264695942	2.34181265054868
IL10RA	0.0096649958106102	2.33910516152956
HSPA1A	0.0106608946184715	2.30223737646858
HMGB2	0.01088	2.29453128793282
SMARCD3	0.0110982081171265	2.28698983816549
GDF7	0.0111643563774273	2.28472917594469
STAG1	0.0113995501918299	2.27678445287651
SOS2	0.0117045671698834	2.26669057890759
GUCY1B3	0.0119544605976862	2.25858966656154
HIST1H2AB	0.0119691602110864	2.25811773196715
RTN1	0.0126343177174441	2.23727096879767
DCAF13	0.0130165076658484	2.22571890978468
RACGAP1	0.0130495817959988	2.22473305888657
TOLLIP	0.0131304296696997	2.22233226290725
DDX56	0.0132296520601508	2.21940322994616
MRPS18A	0.0133031501271517	2.21724578761642
NR1D2	0.0135273192315042	2.21072857568516
IL9	0.0138249864028576	2.20221715545645
BAI1	0.0143688720986638	2.18706548007462
HIST1H3B	0.0146187655264667	2.18026895274168
HIST1H4A	0.0146187655264667	2.18026895274168
STX7	0.0146187655264667	2.18026895274168
MAGI3	0.0149421570212703	2.17162030673347
JUNB	0.01512	2.16693251813597
ZNF174	0.015699187111379	2.15198705132768
ITGB5	0.0157726851783798	2.15012447196471
ADORA1	0.0160078789927824	2.14421382325928
CD63	0.0160887268664834	2.14219922653786
RDH5	0.0160887268664834	2.14219922653786
EHHADH	0.0162210233870849	2.13892124945786
OR6C6	0.01662	2.12917239390099
GTF2H1	0.01695	2.12125915020974
CLEC12B	0.0170809507709947	2.11815548769698
CCNF	0.0171801731614458	2.11581733331786
SLC25A22	0.0173161445853974	2.11263186486081
KCNH7	0.0178196063443531	2.10101997659123
WDFY1	0.0178637051845536	2.10001626493843
SLC25A25	0.0181246233224066	2.09412050786609
ERN1	0.0182164959061577	2.092061754666
ACSBG1	0.0184002410736598	2.08797065169586
MRPS7	0.01847	2.08642657313245
MRPS2	0.0185803113378118	2.08399499338888
CYR61	0.0186758588249128	2.08189876470703
ATF3	0.0186979082450132	2.08141631636054
VTI1A	0.0188485792823648	2.07813248303577
DIRAS1	0.0195174116920726	2.06381960648574
CNN1	0.0199253259639272	2.05529363303193
KCNAB3	0.02034	2.04677684654959
NDUFB10	0.0205390348233842	2.04274114331388
RPS2	0.0205390348233842	2.04274114331388
SOCS7	0.0208661012215379	2.03618081053868
MAML3	0.0209395992885387	2.0347185701071
TNFRSF12A	0.020965323611989	2.0342078121978
ARFGEF2	0.0212188919431419	2.02920137211514
UMPS	0.021406312013994	2.02553338434728
EXOC3L2	0.02145	2.02468227344209
HIST1H2BO	0.02181	2.01772413303247
HIST1H3J	0.02181	2.01772413303247
HIST1H2AM	0.02181	2.01772413303247
TPM4	0.021847300415999	2.01700874391088
ACADVL	0.0219869467433007	2.01433957675255
NHP2	0.0221155683605521	2.01189376578031
C1GALT1	0.0221412926840024	2.01140604495837
NSL1	0.0223764864984051	2.00696891463532
DNAJB1	0.0231077922650634	1.99341900477957
NME1	0.0231665907186641	1.99234532871792
NME1-NME2	0.0231665907186641	1.99234532871792
NME2	0.0231665907186641	1.99234532871792
RPL7A	0.02347	1.98684117608119
RPL3L	0.0249599435534845	1.96064981446204
OR2C1	0.0261028384953476	1.94143384019624
RPLP2	0.0269370415558071	1.92784761559112
POLR2H	0.0275360508018639	1.91830695074756
