""	"NME1"	"MAP4K5"	"HSD17B2"	"CHRD"	"THPO"	"IL2RB"	"SOS2"	"PDYN"	"DNAJC17"	"AGO2"	"C1GALT1"	"IL10RA"	"EHHADH"	"UMPS"	"WDFY1"	"NDUFS7"	"MRPS2"	"FBXO9"	"HIST1H3B"	"MRPS7"	"OR7C1"	"CNN1"	"EXOC3L2"	"DNAJB1"	"CMPK2"	"CD63"	"RDH5"	"DDX56"	"ACSBG1"	"DERL1"	"HIST1H2AB"	"ARL3"	"KCNH2"	"SMARCD3"	"PPARA"	"GUCY1B3"	"GTF2H1"	"RTN1"	"ZNF174"	"RPL3L"	"NDUFB10"	"GDF7"	"IL9"	"NHP2"	"CDCA5"	"AQP5"	"NCSTN"	"ITGB5"	"POLR2H"	"HMGB2"	"EDIL3"	"NOS3"	"DCAF13"	"CLEC1B"	"KCNAB3"	"JUNB"	"HIST1H2BO"	"CXCR6"	"MAGI3"	"OR1S2"	"MYL1"	"OR2C1"	"ADORA1"	"OR9Q2"	"RACGAP1"	"NR1D2"	"BRSK2"	"BAI1"	"TOLLIP"	"OR7A5"	"RPTN"	"GEMIN4"	"SLC25A22"	"RPLP2"	"EXOC3"	"CD151"	"DIRAS1"	"TNFRSF12A"	"CLDN6"	"KCNH8"	"SHC4"	"KCNH7"	"OR2V2"	"PNPLA2"	"GRB2"	"RPS2"	"HIST1H2BJ"	"TNFSF13"	"ATF3"	"CLEC12B"	"TPM4"	"RPS3A"	"CLEC12A"	"CLEC9A"	"THRB"	"ACADVL"	"HIST1H2BK"	"CALM1"	"OR6C6"	"HIST1H3J"	"HIST1H2AM"	"HIST1H4A"	"LAMC3"	"NTPCR"	"NSL1"	"STX7"	"FRK"	"INADL"	"RAE1"	"ARFGEF2"	"RPL7A"	"MRPS18A"	"SLC25A25"	"NOTCH4"	"HSPA1B"	"HSPA1A"	"HSPA1L"	"ZNF165"	"ARHGAP44"	"SNAPC3"	"RHOH"	"SNPH"	"STAG1"	"VTI1A"	"NME1.NME2"	"NME2"	"GAP43"	"CCNF"	"NFIX"	"SAC3D1"	"CLDN9"	"CYR61"	"ERN1"	"MAML3"	"MUC5B"	"ITGA7"	"SOCS7"	"TNFSF12"
"NME1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0.9071	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9996940636	0.9996602914	0	0	0	0	0	0	0	0	0	0	0	0
"MAP4K5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HSD17B2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CHRD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"THPO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL2RB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0
"SOS2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0.9207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PDYN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DNAJC17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.794057111552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AGO2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
