gene	p	score
RXRG	0.000209469490952352	3.52785664054775
CREB1	0.0005108115656558	3.28450326862875
PTGES	0.000599009246056825	3.23935146081603
RPS5	0.000646782989607408	3.21740335845899
CLTCL1	0.00200649722912283	2.87713847889128
ARFGAP1	0.00209836981287392	2.86298233324935
TIRAP	0.00227476517367597	2.83731078730342
DPY30	0.00233356362727666	2.82915374319378
KLHL22	0.00246218524452801	2.81193989050613
SLC9A1	0.003128	2.73405286141747
BRK1	0.003166	2.73007457478976
SGOL2	0.0033735612753385	2.70907431296293
JAK1	0.00348380837583973	2.69838805512082
STK39	0.00354628173279048	2.69246662173122
RPL5	0.00392847168119481	2.65815634978664
SMAP2	0.00415999059224748	2.63880096746804
DCTN4	0.00432168633964924	2.62584673338238
TNRC6B	0.00456055505740194	2.60748111710103
CELA2B	0.00576592335621573	2.52615537525216
RP11-287D1.3	0.00581737200311627	2.52303312710999
MINPP1	0.00632818356877218	2.49329492551341
GNG10	0.00653030325302439	2.48211241481257
WASL	0.00668097429037617	2.4739738258446
CASP9	0.0067912213908774	2.46812092303984
AOX1	0.00682797042437788	2.46618860429733
SKA1	0.00734980670008378	2.43969631301761
CDT1	0.00757030090108635	2.42899833655275
TNRC6C	0.00760704993458672	2.42724209079766
RECQL	0.00779447000543887	2.41839976029784
MRPS5	0.00782754413558928	2.41685880913438
SOS2	0.00797821517294095	2.40991059057695
ALDOB	0.00817298505049313	2.40109773383518
ELMO1	0.00819503447059344	2.4001117143038
EPHA1	0.00861764835584822	2.38164942592799
MUC21	0.00865072248599863	2.38023830957915
FANCD2	0.01001	2.32597283332492
BMP1	0.0100398359523145	2.32485580372266
UBE2T	0.0105138984844698	2.30748500965311
FHL2	0.0108593393993738	2.29525213785478
ECE2	0.0109365123697247	2.29256563516318
ENO2	0.0111055579238266	2.28673807573306
VEGFA	0.011748666010084	2.26525016969562
OR51E1	0.0122153787355392	2.25028660844125
HSPD1	0.0123917740963413	2.24475993344162
ZNF174	0.0125350953269929	2.24031946191237
HOXA13	0.0125534698437431	2.23975335396518
NEO1	0.0126196181040439	2.23772128686732
HIST1H3A	0.0128511370150965	2.23068089503155
OR51D1	0.0129650590189478	2.22725676861023
ELANE	0.0130606065060489	2.22440492187688
CFD	0.0130606065060489	2.22440492187688
IGDCC3	0.0132921254171016	2.21756874653623
CAMK4	0.0135162945214541	2.21104690611788
PARVG	0.0135236443281541	2.21083466093836
MEF2D	0.0140418057005101	2.1961164228398
LYZ	0.0142806744182628	2.18948856418254
PFKM	0.0150193299916213	2.16958023565427
EVX1	0.0152581987093739	2.16332232166055
YWHAG	0.015265548516074	2.16313110876344
MAPK13	0.0154823678137265	2.15752558770015
MLYCD	0.0159160064090315	2.14651375169694
PTGDS	0.0159895044760323	2.14467290207856
GRK6	0.0159895044760323	2.14467290207856
KSR2	0.0164598921048377	2.13306024793434
HIST1H1A	0.016489291331638	2.13234393585398
KIF2B	0.0165333901718385	2.13127151491111
RBM22	0.0165370650751885	2.13118225705996
MPST	0.0167134604359905	2.12691771271162
FLT3	0.0167428596627909	2.12621070293118
RAPSN	0.017	2.12007168974215
LCK	0.0171397492245954	2.11676851813324
WRNIP1	0.0171654735480457	2.11616299721236
ACOT12	0.0172022225815461	2.11529931101148
MRPS10	0.0175072395595995	2.10819091146905
SUOX	0.0177277337606021	2.1031178667658
COL27A1	0.0186170603713123	2.08318766800798
RDH5	0.0191388966470182	2.0718675676254
BLOC1S1	0.0191388966470182	2.0718675676254
TBL1XR1	0.0191535962604183	2.07155251144995
NOS1	0.0195210865954225	2.06374212328916
LRG_261	0.0198114039600759	2.05765973702215
HIST1H4A	0.0199841244175278	2.0540769061262
SRC	0.0201384703582296	2.05089738659284
TNIP1	0.0210461714856899	2.03260601852445
NAF1	0.0210682209057902	2.03217006946895
OR4C5	0.02116	2.03035960073241
ST3GAL4	0.0212703405900425	2.02819175399852
UIMC1	0.0212923900101427	2.0277596926544
OR2C1	0.0222294903644035	2.00973748163239
ITGA5	0.02244	2.0057774274852
KIF24	0.0225014332123065	2.00462766852217
OR51F1	0.02253	2.00409392556293
SYK	0.0226815034764586	2.00127272907312
MEOX2	0.0227256023166591	2.00045453499381
