gene	p
RP11-350G8.5	0.9999
RP11-350G8.7	0.9999
CTRB2	0.9997
NIFKP2	0.9994
RNU6-1143P	0.9991
CTD-2515H24.3	0.9991
AC104183.1	0.9987
MSS51	0.9986
RP11-432A8.2	0.9984
MIR4417	0.9984
C3ORF27	0.9984
KLRC1	0.9982
RP11-426L16.9	0.9982
RP11-408B11.2	0.999984009018913
WNT5A-AS1	0.9981
RILP	0.9978
SCARF1	0.9978
AL133244.1	0.9975
DNAJC19P4	0.9975
EIF4EBP3	0.9975
CTD-2377D24.2	0.9974
RPL9P28	0.9974
AC004917.1	0.9974
AC093166.2	0.9973
CATSPERD	0.9973
LCE3D	0.9972
RNU6-1316P	0.997
RNA5SP260	0.9969
IGLV3-19	0.9969
IGLVI-20	0.9969
RP1-278E11.3	0.9966
AL117209.1	0.9966
AC008072.1	0.9965
RP11-435O5.6	0.9964
RP13-379O24.2	0.9963
PLEKHH3	0.9962
TUBG2	0.9962
SETD1A	0.9961
SP8	0.9959
C2CD4A	0.9959
RP11-643M14.1	0.9959
RNU6-158P	0.9957
LTV1P1	0.9956
CTD-2529P6.3	0.9955
RP11-340A13.3	0.9954
AL162853.1	0.9953
RP11-459D22.1	0.9953
RP3-497J21.1	0.9953
RP13-977J11.5	0.9952
RNU7-107P	0.995
AL031005.1	0.995
XXBAC-BPG248L24.12	0.995
RN7SL207P	0.9949
RP1-65P5.3	0.9949
RP11-807E13.3	0.9948
AE000658.30	0.9947
SPRYD7	0.9946
RN7SL555P	0.9946
TP73-AS1	0.9946
RP11-95L3.2	0.9943
SNORA80B	0.9942
RN7SL682P	0.9941
RN7SKP233	0.994
RP11-353N14.3	0.9939
SNORA38	0.9939
RP11-139J15.5	0.9937
RN7SL169P	0.9937
MIR301A	0.9937
RP11-22K10.1	0.9936
RP11-554A11.4	0.9936
TMEM101	0.9936
RNU6-1148P	0.9935
C1ORF63	0.9933
RP3-465N24.6	0.9933
PLEKHO1	0.993
CCNYL3	0.993
AC104472.1	0.9929
EEF1A1P27	0.9929
RP11-359N11.1	0.9927
AC109992.1	0.9927
RP11-383G6.4	0.9927
UBE2D1	0.9924
AC000003.1	0.9922
AC012075.1	0.9921
FAM210CP	0.9921
RP11-748L13.6	0.9921
KRT8P51	0.9915
RPEP1	0.9914
AC114755.3	0.9914
CTB-39G8.3	0.9913
OR13Z1P	0.9912
ENPP7P5	0.9911
CTD-2349P21.1	0.9911
MIR3659	0.9909
RNU6-472P	0.9908
CTB-174D11.2	0.9908
AC106771.1	0.9907
RP11-435P24.2	0.9907
IPO5	0.999804110481688
