gene	p
PRB1	1
RP11-332G1.1	0.9998
GSTK1	0.9998
COX5BP2	0.9998
ILF3	0.9997
AC040160.1	0.9996
AC002386.1	0.9994
AC110084.1	0.9994
RP11-104D3.2	0.9992
RP11-432J24.5	0.9991
RP11-767L7.2	0.9991
RNU4-38P	0.9991
RP11-379K17.9	0.9991
CTD-3234P18.2	0.999
MIR4482-1	0.999
MIR449A	0.999
MIR449B	0.999
MIR449C	0.999
IFNA21	0.9989
AL031768.1	0.9988
RP11-468E2.9	0.9987
RNU6-110P	0.9987
NUDC	0.9986
CTD-2647E9.1	0.9986
RP11-429H9.4	0.9984
AC114755.5	0.9983
AC114755.7	0.9983
LRG_101	0.9982
RFX5	0.9982
RP11-126K1.6	0.9982
ZNF408	0.9979
AC062016.3	0.9978
ENKUR	0.9978
AC087650.1	0.9977
RNU6-971P	0.9977
MIR568	0.9976
RP11-537E18.1	0.9975
RP3-453D15.1	0.9975
OR8J1	0.9974
RPL5P29	0.9974
SNORD115-48	0.9974
RP11-63E5.6	0.9968
RP11-214K3.18	0.9968
RP11-214K3.19	0.9968
RP11-214K3.20	0.9968
RP11-214K3.21	0.9968
RP11-214K3.22	0.9968
RP11-214K3.23	0.9968
RP11-252K23.2	0.9968
RP11-386O9.2	0.9967
PLEKHM1	0.9966
OR13I1P	0.9965
RNU6-175P	0.9962
RP3-382I10.3	0.9961
ST13P16	0.9961
RNU1-63P	0.9955
RP11-584P21.2	0.9955
RP1-81D8.3	0.9954
RNU6-904P	0.9954
RP11-8L8.2	0.9954
RP1-182O16.1	0.9953
RP11-404E16.1	0.9953
RP3-453I5.2	0.9951
RNU6-472P	0.9949
RP11-344H11.4	0.9947
RP11-423C15.3	0.9947
AC099684.1	0.9946
CTD-2545H1.1	0.9946
CDIPT	0.9945
RP11-95I16.4	0.9944
AL021394.1	0.9943
ZNF461	0.9942
THNSL1	0.999916047349295
RP11-402L1.12	0.9936
RP11-402L1.4	0.9936
RP11-684B20.1	0.9935
AC012075.1	0.9934
RP11-867G23.8	0.9933
SLC29A2	0.9933
RP11-502I4.3	0.9933
RP11-10K17.6	0.9929
AC107025.1	0.9928
CTD-2331H12.7	0.9928
ZNF321P	0.9928
ZNF816	0.9928
ZNF816-ZNF321P	0.9928
RNU6-301P	0.9927
RP11-109L13.5	0.9924
AC005722.4	0.9922
RP11-484D2.2	0.992
RNA5SP300	0.9918
RP11-136B18.2	0.9917
RP11-84A14.5	0.9917
RP4-672N11.1	0.9915
LINC01021	0.9915
LINC00645	0.9914
AC092574.2	0.9914
OR5AK3P	0.9913
BPIFA1	0.9911
RP11-92B11.4	0.9911
RP11-360A18.1	0.9911
RNU7-194P	0.9911
SNRNP40	0.9911
AC020571.3	0.9909
RP11-379P15.1	0.9909
RP11-148B18.4	0.9909
OR2T33	0.9908
RP11-231E19.1	0.9908
MIR4304	0.9908
RN7SL133P	0.9908
RPL31P40	0.9908
RPL23AP35	0.9904
AC016691.2	0.9901
RN7SL470P	0.9899
MTMR4	0.9899
FOXH1	0.9899
KIFC2	0.9899
RP5-1049G16.4	0.9899
MIR4715	0.9897
RP11-360I20.2	0.9897
EBI3	0.9896
RP11-543G18.1	0.9895
RP11-438C19.1	0.9894
LRFN1	0.9894
AC016178.1	0.9891
AC016178.2	0.9891
HSA-MIR-3669	0.9891
AL590007.1	0.989
RNU6-56P	0.989
RP11-416L21.2	0.989
RNU6-833P	0.9889
CCR8	0.9884
HNRNPA1P21	0.9884
GRPEL2P1	0.9883
RNY4P16	0.9882
RP11-472K22.2	0.9881
C15ORF39	0.988
RPL36AP45	0.988
AC023237.1	0.9879
RP11-99L13.2	0.9879
RP11-132A1.3	0.9878
RN7SKP157	0.9875
RP11-300E4.2	0.9874
RP11-32P22.1	0.9874
RP3-410C9.2	0.9873
RNU4-28P	0.999996002254728
FABP5P4	0.9871
TAS2R38	0.9869
KCNIP2-AS1	0.9869
RP11-517O13.3	0.9869
BOD1L2	0.9868
KB-1043D8.8	0.9867
HSP90AA4P	0.9867
RPL21P9	0.9865
AC090720.1	0.9865
AREGB	0.9863
RP11-727M10.2	0.9863
RP11-454L1.2	0.9863
LINC01093	0.9862
MDM4	0.9862
RP11-430C7.2	0.9862
RP11-973H7.3	0.9862
SEPT10P1	0.9858
FAM46B	0.9857
TRNP1	0.9857
AC092664.1	0.9855
AC079776.3	0.9854
AC079776.4	0.9854
PAPPA-AS1	0.9853
AC022596.2	0.9853
COTL1P1	0.9853
KRT17P1	0.9853
AC005624.2	0.9853
MAPKAPK5P1	0.9853
RP5-1041C10.3	0.985
RP11-424M21.1	0.9848
DPPA5P1	0.9846
RP11-489G11.3	0.9845
GRIN1	0.9845
RN7SL733P	0.9844
RP11-204K16.1	0.9844
DTWD1	0.9843
RP11-126K1.2	0.9842
ZNF687	0.9842
RN7SKP121	0.9838
RN7SKP279	0.9838
RP11-1046B16.1	0.9837
CTD-2154H6.1	0.999524268312672
HNRNPA1P68	0.9835
RP11-283I3.4	0.9834
RP11-283I3.6	0.9834
SAPCD1-AS1	0.9831
VWA7	0.9831
RNU6-925P	0.9828
AC006483.1	0.9828
RNU6-315P	0.9827
LSM5	0.9826
RP11-478C6.6	0.9826
HMGN1P14	0.9824
FAM163B	0.9823
LAMTOR2	0.9821
LRG_81	0.9821
RDH12	0.999456306643053
RP11-1012A1.10	0.982
OR2M4	0.9819
RP11-530A18.1	0.9818
SMC3	0.9814
TPI1P1	0.9811
RP11-236L14.1	0.9811
RP11-89A16.1	0.9811
KRT8P18	0.981
BANF1P3	0.9809
AL049542.1	0.9809
RP11-230C9.4	0.9809
AC079235.1	0.9808
RP11-385J23.1	0.9808
SNRPGP6	0.9806
RP5-1042K10.12	0.9806
AC068657.2	0.9804
GOLGA2	0.9804
SWI5	0.9804
PAQR6	0.9803
RP11-21C17.1	0.9802
RPL5P19	0.9802
SLMO2P1	0.9801
LRG_99	0.9797
AC013472.3	0.999260417124742
AC013472.4	0.99997601352837
MAPRE3	0.99997601352837
VIL1	0.9796
USP6	0.999244426143655
IGLVIV-59	0.9791
IGLVV-58	0.9791
KIRREL2	0.9789
PTGDR2	0.999216441926753
CDR2L	0.9785
AC132807.1	0.9783
RN7SL49P	0.9783
RP11-646D13.1	0.9782
RP11-325K19.6	0.99918445996458
IGKV1D-17	0.9779
RP11-562F9.2	0.9778
C6ORF25	0.9778
DDAH2	0.9778
LY6G6C	0.9778
TMEM114	0.9778
RPL31P58	0.9775
AC090804.1	0.977
MAS1L	0.9767
RPS17P1	0.9767
RP1-253P7.1	0.9765
SMCR5	0.9765
RN7SL423P	0.9762
ZC3HAV1L	0.9761
RP11-136H13.2	0.9761
KLF4	0.976
LDOC1L	0.976
AC010525.1	0.9759
AC010525.4	0.9759
AC010525.6	0.9759
AC010525.7	0.9759
OR5H2	0.9759
RP11-166O4.5	0.9758
RP11-91J3.3	0.9758
AC092620.2	0.9757
MTND1P34	0.9755
GPT2	0.9754
RP11-659G9.1	0.9754
DNAJC22	0.9753
RN7SKP215	0.9752
RNU6-470P	0.975
RP11-399K21.5	0.9749
RNU6-1113P	0.9749
TJAP1	0.9749
