gene	p	score
RP11-350G8.5	0.9999	-3.71901648545571
RP11-350G8.7	0.9999	-3.71901648545571
CTRB2	0.9997	-3.4316144036233
NIFKP2	0.9994	-3.23888011835296
RNU6-1143P	0.9991	-3.12138914935986
CTD-2515H24.3	0.9991	-3.12138914935986
AC104183.1	0.9987	-3.01145375849979
MSS51	0.9986	-2.9888822673158
RP11-432A8.2	0.9984	-2.9478425521849
MIR4417	0.9984	-2.9478425521849
C3ORF27	0.9984	-2.9478425521849
KLRC1	0.9982	-2.911237726243
RP11-426L16.9	0.9982	-2.911237726243
RP11-408B11.2	0.999984009018913	-4.15887444615252
WNT5A-AS1	0.9981	-2.89430405305143
RILP	0.9978	-2.84796328748792
SCARF1	0.9978	-2.84796328748792
AL133244.1	0.9975	-2.80703376834381
DNAJC19P4	0.9975	-2.80703376834381
EIF4EBP3	0.9975	-2.80703376834381
CTD-2377D24.2	0.9974	-2.79437586878103
RPL9P28	0.9974	-2.79437586878103
AC004917.1	0.9974	-2.79437586878103
AC093166.2	0.9973	-2.7821504537846
CATSPERD	0.9973	-2.7821504537846
LCE3D	0.9972	-2.77032723335217
RNU6-1316P	0.997	-2.74778138544499
RNA5SP260	0.9969	-2.73701216648466
IGLV3-19	0.9969	-2.73701216648466
IGLVI-20	0.9969	-2.73701216648466
RP1-278E11.3	0.9966	-2.70648331190426
AL117209.1	0.9966	-2.70648331190426
AC008072.1	0.9965	-2.69684426087813
RP11-435O5.6	0.9964	-2.68744944715147
RP13-379O24.2	0.9963	-2.67828600965941
PLEKHH3	0.9962	-2.66934209179252
TUBG2	0.9962	-2.66934209179252
SETD1A	0.9961	-2.66060673878077
SP8	0.9959	-2.6437218896355
C2CD4A	0.9959	-2.6437218896355
RP11-643M14.1	0.9959	-2.6437218896355
RNU6-158P	0.9957	-2.62755871010504
LTV1P1	0.9956	-2.61972770981025
CTD-2529P6.3	0.9955	-2.61205414122928
RP11-340A13.3	0.9954	-2.60453136462719
AL162853.1	0.9953	-2.59715315803855
RP11-459D22.1	0.9953	-2.59715315803855
RP3-497J21.1	0.9953	-2.59715315803855
RP13-977J11.5	0.9952	-2.58991368270157
RNU7-107P	0.995	-2.5758293035489
AL031005.1	0.995	-2.5758293035489
XXBAC-BPG248L24.12	0.995	-2.5758293035489
RN7SL207P	0.9949	-2.56897437388739
RP1-65P5.3	0.9949	-2.56897437388739
RP11-807E13.3	0.9948	-2.56223807575215
AE000658.30	0.9947	-2.55561607737021
SPRYD7	0.9946	-2.54910428370618
RN7SL555P	0.9946	-2.54910428370618
TP73-AS1	0.9946	-2.54910428370618
RP11-95L3.2	0.9943	-2.53019238385703
SNORA80B	0.9942	-2.52408462699198
RN7SL682P	0.9941	-2.51806960337025
RN7SKP233	0.994	-2.51214432793046
RP11-353N14.3	0.9939	-2.50630595979189
SNORA38	0.9939	-2.50630595979189
RP11-139J15.5	0.9937	-2.49487924829238
RN7SL169P	0.9937	-2.49487924829238
MIR301A	0.9937	-2.49487924829238
RP11-22K10.1	0.9936	-2.48928586478724
RP11-554A11.4	0.9936	-2.48928586478724
TMEM101	0.9936	-2.48928586478724
RNU6-1148P	0.9935	-2.48376929325053
C1ORF63	0.9933	-2.47295770662439
RP3-465N24.6	0.9933	-2.47295770662439
PLEKHO1	0.993	-2.45726339020544
CCNYL3	0.993	-2.45726339020544
AC104472.1	0.9929	-2.45216381405329
EEF1A1P27	0.9929	-2.45216381405329
RP11-359N11.1	0.9927	-2.44215195157703
AC109992.1	0.9927	-2.44215195157703
RP11-383G6.4	0.9927	-2.44215195157703
UBE2D1	0.9924	-2.42757842897478
AC000003.1	0.9922	-2.41814171322274
AC012075.1	0.9921	-2.41350294958848
FAM210CP	0.9921	-2.41350294958848
RP11-748L13.6	0.9921	-2.41350294958848
KRT8P51	0.9915	-2.38670773449225
RPEP1	0.9914	-2.38240434238231
AC114755.3	0.9914	-2.38240434238231
CTB-39G8.3	0.9913	-2.3781446232807
OR13Z1P	0.9912	-2.37392762389816
ENPP7P5	0.9911	-2.36975242236699
CTD-2349P21.1	0.9911	-2.36975242236699
MIR3659	0.9909	-2.36152387431014
RNU6-472P	0.9908	-2.35746882913577
CTB-174D11.2	0.9908	-2.35746882913577
AC106771.1	0.9907	-2.35345218211734
RP11-435P24.2	0.9907	-2.35345218211734
IPO5	0.999804110481688	-3.54556050307127
AC078819.1	0.9903	-2.33775425291558
CTD-2555A7.1	0.9901	-2.33011639747728
RP11-420M1.2	0.9901	-2.33011639747728
RNU6-366P	0.99	-2.32634787404084
RP11-545A16.4	0.9899	-2.32261210205392
LETM2	0.9898	-2.31890846590017
RP11-350N15.6	0.9898	-2.31890846590017
MRPS25	0.9897	-2.31523636747114
RAB7L1	0.9897	-2.31523636747114
CTD-2538G9.5	0.9897	-2.31523636747114
CTC-248O19.1	0.9897	-2.31523636747114
TEFM	0.999772128519515	-3.50550440431962
SUMO1	0.9894	-2.30440356635946
PSD2	0.9893	-2.30085196534021
RP3-407E4.4	0.9893	-2.30085196534021
AC104131.1	0.989	-2.29036787785527
RP4-651E10.3	0.989	-2.29036787785527
RP11-384A12.1	0.9887	-2.28012965303028
NPAS1	0.9886	-2.27676939560489
TMEM160	0.9886	-2.27676939560489
RP11-133K1.7	0.9886	-2.27676939560489
RNU6-374P	0.9886	-2.27676939560489
HES1	0.9885	-2.27343465094278
CTB-36O1.7	0.9885	-2.27343465094278
MTND5P11	0.9885	-2.27343465094278
MTND6P4	0.9885	-2.27343465094278
CRHR1-IT1	0.9884	-2.27012499802052
RPL29P3	0.9882	-2.26357933559308
TPRKBP1	0.9881	-2.26034253529359
RP11-115M14.1	0.9877	-2.24762675579514
BANF1P3	0.9876	-2.24450387316539
RP11-351O1.4	0.9876	-2.24450387316539
RNU6-480P	0.9875	-2.24140272760495
CHMP1A	0.9875	-2.24140272760495
RP11-133K1.1	0.9874	-2.23832298918463
RP11-133K1.6	0.9874	-2.23832298918463
MIR4262	0.9872	-2.23222645179064
TRBV6-6	0.9872	-2.23222645179064
TRBV7-5	0.9872	-2.23222645179064
CTD-2302E22.4	0.987	-2.22621176931717
AL160274.1	0.9867	-2.21733804414672
RN7SL653P	0.9867	-2.21733804414672
RP11-554D14.2	0.9866	-2.21441854999583
RP11-554D14.3	0.9866	-2.21441854999583
RP1-65J11.5	0.9865	-2.21151780918668
RP11-367J7.3	0.9864	-2.20863555823422
LINC00543	0.9863	-2.20577153927258
HINT1	0.9861	-2.20009719299989
RP11-157L10.1	0.9861	-2.20009719299989
RAB11FIP2	0.9858	-2.19171627267117
RP11-354M20.3	0.9858	-2.19171627267117
RP11-742N3.1	0.9858	-2.19171627267117
RN7SL482P	0.9857	-2.18895652567946
AC006116.13	0.9856	-2.18621335019952
AC006116.14	0.9856	-2.18621335019952
KRT8P9	0.9853	-2.17808109228934
AL590482.1	0.9852	-2.1754020636764
RP11-977B10.2	0.9851	-2.1727385579513
RP11-403P13.1	0.985	-2.17009037758456
AC022716.1	0.9849	-2.16745732886558
RNA5SP249	0.9848	-2.16483922180398
OR4D10	0.9848	-2.16483922180398
RP11-384C21.9	0.9848	-2.16483922180398
SLC25A28	0.9847	-2.16223587003412
ZNF561	0.9847	-2.16223587003412
RN7SL216P	0.9846	-2.15964709072264
RN7SL255P	0.9844	-2.15451253526882
EPPK1	0.999492286350498	-3.28621705887425
AC098869.1	0.999484290859955	-3.28181342052819
CCT6A	0.9843	-2.15196641032989
PSPH	0.9843	-2.15196641032989
SNORA22	0.9843	-2.15196641032989
RP11-159A18.1	0.9841	-2.14691561809273
RN7SL530P	0.9841	-2.14691561809273
ZSWIM1	0.9841	-2.14691561809273
RP11-445H22.3	0.984	-2.14441062091184
CIR1P3	0.984	-2.14441062091184
RP11-384K6.6	0.984	-2.14441062091184
MIR3940	0.9839	-2.1419190080865
DUTP3	0.9837	-2.13697530803558
DPF1	0.9836	-2.13452291405987
AY269186.2	0.9836	-2.13452291405987
AC099796.1	0.9835	-2.1320832908065
ZNF714	0.9835	-2.1320832908065
RP11-35G22.1	0.9834	-2.12965629158796
PCDHB5	0.9832	-2.12483959125623
RN7SL633P	0.9832	-2.12483959125623
AHSP	0.9832	-2.12483959125623
RN7SL671P	0.9831	-2.12244960934103
RP11-324H7.1	0.983	-2.12007168974215
RP11-453N18.1	0.9828	-2.11535150194015
RP11-419N10.5	0.9828	-2.11535150194015
GINS2	0.9827	-2.11300897160803
OR52R1	0.9826	-2.11067797923228
RP11-104N10.1	0.9826	-2.11067797923228
ALG12	0.9825	-2.10835839916911
CITF22-1A6.3	0.9825	-2.10835839916911
PRPF19	0.9825	-2.10835839916911
RP11-271M24.2	0.9824	-2.10605010785621
RNU1-45P	0.9817	-2.09019819080951
RP11-330C7.3	0.9816	-2.08797599637805
SERPINB4	0.9816	-2.08797599637805
RP11-390P2.2	0.9815	-2.08576406509235
RNU6-362P	0.9812	-2.07918880738819
RP11-10N16.2	0.9812	-2.07918880738819
RP11-305L7.7	0.9811	-2.07701689401682
RP11-159F24.2	0.9811	-2.07701689401682
RP11-332E3.2	0.9811	-2.07701689401682
ZSCAN16	0.9811	-2.07701689401682
ZSCAN16-AS1	0.9811	-2.07701689401682
MIRLET7A1	0.981	-2.07485473439331
MIRLET7F1	0.981	-2.07485473439331
RP11-352E6.1	0.9809	-2.07270223128584
RP11-352E6.2	0.9809	-2.07270223128584
TAAR7P	0.9809	-2.07270223128584
RNU7-127P	0.9807	-2.06842581303962
RP4-593M8.1	0.9806	-2.06630171069586
AC098680.1	0.9805	-2.0641868904004
GLRXP3	0.9804	-2.06208126200691
RPS4XP7	0.9804	-2.06208126200691
RP4-789D17.4	0.9803	-2.05998473670205
RP11-290I21.2	0.9803	-2.05998473670205
TK2	0.9801	-2.0558186466124
RP11-324L3.5	0.9799	-2.0516879352987
AC016292.3	0.9799	-2.0516879352987
RPL21P41	0.9797	-2.04759193763366
AC093162.5	0.9796	-2.04555675376863
LINC00556	0.9795	-2.04353000743986
PPIAP28	0.9795	-2.04353000743986
CTC-479C5.10	0.9794	-2.04151162071801
NRN1L	0.9794	-2.04151162071801
UBE2T	0.9793	-2.03950151677005
RPPH1	0.9791	-2.03550585522164
ACTG1P13	0.9791	-2.03550585522164
CNIH1	0.999180462219308	-3.14886203700537
DYDC1	0.979	-2.03352014925305
LINC00919	0.9788	-2.02957262365998
IGBP1P4	0.999168468983493	-3.14461382085428
FAM177B	0.9787	-2.027610661711
EOMES	0.9786	-2.02565647372506
RP11-222K16.2	0.9786	-2.02565647372506
ATP5LP2	0.9785	-2.02370999093497
FCRL1	0.9785	-2.02370999093497
RP11-40G16.1	0.9784	-2.02177114550029
METTL7A	0.9784	-2.02177114550029
RP11-317J10.2	0.9782	-2.01791609986938
AC106883.1	0.9782	-2.01791609986938
HNRNPA1P34	0.9782	-2.01791609986938
HNRNPA1P41	0.9781	-2.01599976847751
HSPE1P27	0.978	-2.01409081201814
GPBAR1	0.978	-2.01409081201814
RP11-378A13.1	0.978	-2.01409081201814
RP11-782K4.1	0.9779	-2.01218916704117
AC139100.3	0.9777	-2.00840756187862
RP11-73K9.3	0.9776	-2.00652747889392
TIFA	0.9776	-2.00652747889392
HAND2	0.9776	-2.00652747889392
RPL5P28	0.9775	-2.0046544617651
FMOD	0.999032545644257	-3.10004556970784
RNU6-839P	0.9774	-2.0027884510583
CTD-2333M24.1	0.9773	-2.00092938810157
AE000658.31	0.9773	-2.00092938810157
TRAV3	0.9773	-2.00092938810157
RPL36AP6	0.9771	-1.99723187448175
PATL1	0.9769	-1.99356146627752
AC079602.1	0.998980574955725	-3.08451400758606
HNF1A-AS1	0.998980574955725	-3.08451400758606
RNU1-36P	0.9764	-1.98450115013542
RN7SL338P	0.9764	-1.98450115013542
SLC16A11	0.9763	-1.98270849633028
SLC16A13	0.9763	-1.98270849633028
RNU6-172P	0.9762	-1.98092219161746
CYBA	0.9759	-1.97560087033525
LRG_52	0.9759	-1.97560087033525
RP11-513O17.3	0.9758	-1.9738394633132
HSD3B1	0.9756	-1.97033490997019
RP11-219J21.1	0.9756	-1.97033490997019
RP11-333I13.1	0.9756	-1.97033490997019
RP4-810F7.1	0.9755	-1.96859166918659
RP11-326K13.4	0.9755	-1.96859166918659
GJA8	0.9754	-1.96685439028423
AL160037.1	0.9754	-1.96685439028423
AC092364.4	0.9753	-1.96512302741505
MIR1273D	0.9753	-1.96512302741505
RP3-422G23.3	0.9753	-1.96512302741505
CTD-2587H24.1	0.9752	-1.96339753526866
RPS14P7	0.9748	-1.95655338605027
RNU2-48P	0.9748	-1.95655338605027
AC012363.10	0.9747	-1.9548565860955
MTND3P10	0.9747	-1.9548565860955
MTND4P26	0.9747	-1.9548565860955
MTND5P28	0.9747	-1.9548565860955
TMEM185B	0.9747	-1.9548565860955
AP001092.4	0.9746	-1.95316539582895
RP6-65G23.3	0.9746	-1.95316539582895
IGHV3-79	0.9745	-1.95147977347586
IGHVII-78-1	0.9745	-1.95147977347586
RNU6-533P	0.9745	-1.95147977347586
RP11-139F9.1	0.9745	-1.95147977347586
AC113331.9	0.9744	-1.9497996777359
RP11-297M9.1	0.9744	-1.9497996777359
RP11-493E3.2	0.9743	-1.94812506777595
AC011516.2	0.9743	-1.94812506777595
CTC-457E21.7	0.9743	-1.94812506777595
RP11-234B24.2	0.9742	-1.946455903223
AC092171.4	0.9742	-1.946455903223
RNU6-667P	0.9741	-1.94479214415721
ZNF843	0.9741	-1.94479214415721
MIR4488	0.9741	-1.94479214415721
AC013429.4	0.974	-1.94313375110507
CCR8	0.974	-1.94313375110507
KCTD11	0.9739	-1.94148068503272
RP11-542C16.1	0.9739	-1.94148068503272
TMEM95	0.9739	-1.94148068503272
ZBTB8OSP2	0.9739	-1.94148068503272
PTPN6	0.9739	-1.94148068503272
RNA5SP119	0.9737	-1.93819037985094
HIST1H2BE	0.9735	-1.93492092488739
AC002310.7	0.9735	-1.93492092488739
RP11-146F11.5	0.9735	-1.93492092488739
ZNF785	0.9735	-1.93492092488739
KLK8	0.9734	-1.93329392314083
KLK9	0.998768694456327	-3.02789810351504
AMD1P1	0.9731	-1.92844338365645
TMBIM1	0.998732714748882	-3.01918339769244
CTD-2194F4.2	0.9729	-1.92523472230683
RN7SKP155	0.9729	-1.92523472230683
RP11-124N3.2	0.9727	-1.92204576064532
RPL32P14	0.9727	-1.92204576064532
RP11-159H20.3	0.9727	-1.92204576064532
AC003009.1	0.9726	-1.92045858182966
RNU6-456P	0.9726	-1.92045858182966
RP11-95I19.2	0.9726	-1.92045858182966
RP11-359G22.2	0.99868074406035	-3.00698683675696
RP11-152H18.3	0.9726	-1.92045858182966
NAIF1	0.9724	-1.91729866064281
FTLP18	0.9724	-1.91729866064281
RP11-785G17.1	0.99865675758872	-3.0015051644957
AP003730.1	0.9724	-1.91729866064281
MIR569	0.9723	-1.91572585229298
RNU6-1069P	0.9721	-1.91259437771365
KRT8P23	0.9721	-1.91259437771365
RN7SL278P	0.9721	-1.91259437771365
AC003075.4	0.972	-1.91103564754912
RP5-828K20.1	0.9719	-1.90948154672909
AGO1	0.998612782390732	-2.99168374039466
EI24	0.9718	-1.90793204410582
RNU6-1156P	0.9718	-1.90793204410582
STT3A-AS1	0.9718	-1.90793204410582
MIR517A	0.9718	-1.90793204410582
MIR524	0.9718	-1.90793204410582
RNU6-606P	0.9717	-1.9063871088513
LEPROT	0.9715	-1.903310818709
RNU6-1331P	0.998572804938015	-2.98299890837702
MIR3115	0.9715	-1.903310818709
RP11-416L21.2	0.9714	-1.90177940372474
SLITRK3	0.9712	-1.89872988596458
RPS4XP12	0.9712	-1.89872988596458
TSPAN19	0.9706	-1.88968575780222
RNU6-835P	0.9706	-1.88968575780222
AL611946.1	0.9705	-1.88819333698851
RP11-10C24.1	0.9704	-1.88670510997243
RP11-10C24.2	0.9704	-1.88670510997243
RP11-10C24.3	0.9704	-1.88670510997243
ARFIP2	0.9701	-1.8822653251977
TIMM10B	0.999896058622937	-3.70923945546945
RPL13AP3	0.9701	-1.8822653251977
