gene	p	score
AP1B1	0.00104740926117675	3.07644940296429
BLMH	0.00108738671389341	3.06526481650191
MRPL9	0.00113535965715339	3.05233050303938
TRAF7	0.001181	3.04048175740706
RORC	0.00193490871148672	2.88858311590539
ABLIM1	0.00200287038110503	2.87770930608125
PRKG1	0.00205484106963671	2.86961780351414
OAZ3	0.00215478470142838	2.85456586856081
INTS1	0.002196	2.84854240472125
TEX12	0.00321018945314844	2.72550199182051
CENPC	0.00336610151874339	2.70980867179171
CPT1A	0.00343806093363341	2.70278494652076
OR13D1	0.003457	2.70095833184819
PPP1R17	0.0036099639803151	2.6865262278953
HCRTR1	0.003892	2.66129813557458
RAB26	0.00415765508253341	2.63899135376647
RNF146	0.00424560547851016	2.63188695953541
RAB11A	0.00435754234611674	2.62303293689816
WDR31	0.00438952430829009	2.62054056039713
OR4K15	0.005266	2.55785499135193
PPP2R2A	0.00544492906001015	2.54621343832129
LPAR3	0.0057767419175585	2.52549678574864
KLK2	0.00650832930227352	2.48331319568921
LRG_272	0.00672020980167187	2.471881137095
RHOQ	0.00676418499966014	2.46954844343467
STUB1	0.007243	2.44498043517146
TMPRSS12	0.00733186482823689	2.44057921281443
SEC24D	0.00837127859887021	2.3923130053534
ATXN1	0.00839126732522855	2.39143764065699
OPRD1	0.0086631140037019	2.37971084055035
KLHL2	0.0087790486165803	2.374807652054
ADCY2	0.00935072619042865	2.35142911782057
MBD3	0.01013	2.32149766449178
CHRM2	0.0104541038854087	2.30963793122348
CDH8	0.010773923507142	2.29824503201273
MECOM	0.0108498806673036	2.29558255213148
SLC2A4	0.01098	2.29105902640745
FOXF1	0.011205679996482	2.28332281636296
PRIM1	0.01163	2.26913693339481
CCNK	0.0118493169852203	2.26198008143513
SDS	0.01208	2.25457528855715
PSMA2	0.01225	2.24919645375021
MRPL32	0.01225	2.24919645375021
INPP5D	0.0122570870029304	2.2489736273892
OR1M1	0.01239	2.24481517774934
PIP5K1C	0.0131685729248704	2.22120402298168
KLHL12	0.0144758356287054	2.18414396061606
ANXA1	0.0155072539087955	2.15688651599506
RAB7L1	0.01553	2.15630316885066
RCN2	0.0164827037550821	2.13250434703885
VWA9	0.01693	2.12173497308064
CGN	0.0171783114323522	2.11586109821244
OR1Q1	0.0172742573188721	2.11361089385279
RAB4A	0.0177739754778306	2.10206079098465
KLK4	0.0178019596947322	2.10142221682276
OR5M10	0.01831	2.08997550649541
COPB2	0.0183376575611355	2.08936015511739
LRG_97	0.0183576462874938	2.08891591918205
PUM1	0.0189613058235155	2.07569021360628
MCHR2	0.0190212720025905	2.07439604855049
CCK	0.0195889518311673	2.0623134464775
GNG7	0.0199087714529006	2.05563674805199
ARHGAP15	0.0199367556698022	2.05505687777517
GTF2H1	0.0205	2.04353000743986
ANGPT2	0.0208162596295689	2.03717488941052
CDH3	0.0216198064291739	2.02138802976684
RBBP8	0.021631799664989	2.02115618876381
RPS28	0.022423353228779	2.00608943874209
OR13F1	0.0225872607849174	2.00302577878984
ANKRD44	0.0230749857080607	1.99401906179982
EIF4E	0.0231989158114824	1.99175604058655
DNA2	0.0232588819905574	1.99066468216357
TAS2R4	0.0233028571885456	1.98986585694711
RCC2	0.02376	1.9816359548557
GPR68	0.023922507705654	1.97874241025918
MIR4647	0.02396	1.9780771844336
SDF4	0.0242143431104856	1.97358732431203
CTBP1	0.0244302213551557	1.96980744760173
PAPSS2	0.0251218312871541	1.95788368636959
FANK1	0.0252737456074774	1.95530152584415
RAB18	0.02606	1.94214127470416
FOXA1	0.02613	1.94098579819004
MYH11	0.0261332608408857	1.94093203524943
CACNA2D2	0.0261492518219724	1.94066846598072
MED1	0.02624	1.93917526844299
PIK3CA	0.0269368076404908	1.92785137568621
SMC3	0.02724	1.92300039699983
CDK2	0.0282360748537824	1.90737418593601
PSMB7	0.0287597794843708	1.89934173415751
OR9K2	0.0310424920344925	1.86568832480286
OR10V1	0.0328814548594593	1.84003628939259
