gene	p	score
AP1B1	0.00104740926117675	3.07644940296429
BLMH	0.00108738671389341	3.06526481650191
MRPL9	0.00113535965715339	3.05233050303938
TRAF7	0.001181	3.04048175740706
CHRNA1	0.00143119280725668	2.98214268346572
RORC	0.00193490871148672	2.88858311590539
ABLIM1	0.00200287038110503	2.87770930608125
PRKG1	0.00205484106963671	2.86961780351414
OAZ3	0.00215478470142838	2.85456586856081
INTS1	0.002196	2.84854240472125
TEX12	0.00321018945314844	2.72550199182051
CENPC	0.00336610151874339	2.70980867179171
CPT1A	0.00343806093363341	2.70278494652076
OR13D1	0.003457	2.70095833184819
PPP1R17	0.0036099639803151	2.6865262278953
HCRTR1	0.003892	2.66129813557458
RAB26	0.00415765508253341	2.63899135376647
RNF146	0.00424560547851016	2.63188695953541
RAB11A	0.00435754234611674	2.62303293689816
WDR31	0.00438952430829009	2.62054056039713
OR4K15	0.005266	2.55785499135193
PPP2R2A	0.00544492906001015	2.54621343832129
LPAR3	0.0057767419175585	2.52549678574864
KLK2	0.00650832930227352	2.48331319568921
CCL8	0.006534	2.48191075493268
LRG_272	0.00672020980167187	2.471881137095
RHOQ	0.00676418499966014	2.46954844343467
STUB1	0.007243	2.44498043517146
TMPRSS12	0.00733186482823689	2.44057921281443
SEC24D	0.00837127859887021	2.3923130053534
ATXN1	0.00839126732522855	2.39143764065699
OPRD1	0.0086631140037019	2.37971084055035
KLHL2	0.0087790486165803	2.374807652054
ADCY2	0.00935072619042865	2.35142911782057
MBD3	0.01013	2.32149766449178
CHRM2	0.0104541038854087	2.30963793122348
CDH8	0.010773923507142	2.29824503201273
MECOM	0.0108498806673036	2.29558255213148
SLC2A4	0.01098	2.29105902640745
FOXF1	0.011205679996482	2.28332281636296
PRIM1	0.01163	2.26913693339481
CCNK	0.0118493169852203	2.26198008143513
SDS	0.01208	2.25457528855715
PSMA2	0.01225	2.24919645375021
MRPL32	0.01225	2.24919645375021
INPP5D	0.0122570870029304	2.2489736273892
OR1M1	0.01239	2.24481517774934
PIP5K1C	0.0131685729248704	2.22120402298168
