""	"MBD3"	"RAB26"	"STUB1"	"PSMA2"	"MRPL32"	"OPRD1"	"RAB7L1"	"RHOQ"	"ATXN1"	"TAS2R4"	"LRG_97"	"FOXA1"	"ANXA1"	"SDS"	"PSMB7"	"BLMH"	"RAB11A"	"FOXF1"	"LRG_272"	"PIK3CA"	"CDH3"	"MECOM"	"CPT1A"	"GTF2H1"	"CDK2"	"CGN"	"CENPC"	"TEX12"	"SEC24D"	"MCHR2"	"CTBP1"	"ARHGAP15"	"OR1Q1"	"MED1"	"OR10V1"	"OR4K15"	"OR9K2"	"KLK2"	"ANGPT2"	"OR13D1"	"TRAF7"	"CHRM2"	"SLC2A4"	"RBBP8"	"PPP2R2A"	"KLK4"	"VWA9"	"RORC"	"COPB2"	"OR13F1"	"PIP5K1C"	"CCK"	"ABLIM1"	"PPP1R17"	"ADCY2"	"RAB18"	"AP1B1"	"PRIM1"	"INPP5D"	"SDF4"	"SMC3"	"RAB4A"	"KLHL12"	"RNF146"	"FANK1"	"MRPL9"	"LPAR3"	"HCRTR1"	"PRKG1"	"WDR31"	"RCC2"	"GNG7"	"CCNK"	"MIR4647"	"RCN2"	"MYH11"	"TMPRSS12"	"DNA2"	"INTS1"	"ANKRD44"	"PUM1"	"OR1M1"	"PAPSS2"	"OAZ3"	"CACNA2D2"	"KLHL2"	"EIF4E"	"GPR68"	"OR5M10"	"CDH8"	"RPS28"
"MBD3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RAB26"	0	0	0	0	0	0	0.927019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"STUB1"	0	0	0	0	0	0	0	0	0.807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PSMA2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9999956413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MRPL32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OPRD1"	0	0	0	0	0	0	0	0	0	0.9	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9742	0	0	0	0	0	0	0	0	0	0	0	0.9642	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RAB7L1"	0	0.927019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90861	0	0	0	0	0	0.905425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RHOQ"	0	0	0	0	0	0	0	0	0	0	0.99848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.923	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATXN1"	0	0	0.807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TAS2R4"	0	0	0	0	0	0.9	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
