""	"MBD3"	"RAB26"	"STUB1"	"PSMA2"	"MRPL32"	"OPRD1"	"RAB7L1"	"RHOQ"	"OR2B6"	"ATXN1"	"TAS2R4"	"OR7A10"	"OR7C1"	"GNGT1"	"LRG_97"	"FOXA1"	"ANXA1"	"SDS"	"OR1J1"	"PSMB7"	"CHRNA1"	"BLMH"	"RAB11A"	"FOXF1"	"LRG_272"	"PIK3CA"	"CDH3"	"MECOM"	"CPT1A"	"GTF2H1"	"CDK2"	"ARRB2"	"CGN"	"CENPC"	"OR13C4"	"OR5M9"	"TEX12"	"SEC24D"	"MCHR2"	"OR14K1"	"OR8A1"	"GNAQ"	"OR10K1"	"CTBP1"	"OR3A3"	"ARHGAP15"	"OR1Q1"	"OR2D2"	"GALR1"	"OR4D6"	"MED1"	"OR51B5"	"OR51Q1"	"OR5I1"	"OR5AU1"	"OR10V1"	"OR10G3"	"OR5AR1"	"MTNR1A"	"OR7G3"	"OR5B2"	"OR5A1"	"OR1B1"	"OR52A5"	"OR7G2"	"OR5A2"	"OR10A2"	"OR4K15"	"OR8U1"	"OR1L6"	"OR2B2"	"OR6Y1"	"OR2AT4"	"OR4K14"	"OR2K2"	"OR1A1"	"OR1F1"	"OR1S2"	"OR6F1"	"OR4D5"	"OR10H2"	"ITPR1"	"OR1L8"	"OR5B12"	"OR1N1"	"OR10H3"	"OR8B12"	"OR2AG1"	"OR9K2"	"OR2C1"	"OR6Q1"	"OR4X2"	"OR10P1"	"OR5B3"	"OR5R1"	"OR10AD1"	"OR9Q2"	"OR52I2"	"OR52W1"	"OR7D4"	"OR8S1"	"OR10H5"	"OR1L1"	"OR5J2"	"OR4B1"	"OR1S1"	"OR2Y1"	"OR10A6"	"GNAI2"	"OR6S1"	"OR1E1"	"KLK2"	"OR3A1"	"OR10Q1"	"ANGPT2"	"OR7A5"	"OR13D1"	"TRAF7"	"OR11H4"	"OR11H6"	"OR4L1"	"OR2A4"	"CHRM2"	"OR4D11"	"OR2D3"	"SLC2A4"	"OR56B4"	"OR56A1"	"OR4C5"	"OR52E4"	"OR4S1"	"OR4X1"	"OR51V1"	"OR52E2"	"OR51L1"	"OR51G1"	"OR51G2"	"OR51S1"	"OR5AK2"	"OR52N2"	"OR52N1"	"OR56B1"	"RBBP8"	"OR52N4"	"OR5M8"	"OR51F2"	"OR10K2"	"OR2M7"	"OR2T12"	"OR2T33"	"OR4C16"	"OR4C15"	"OR4A15"	"PPP2R2A"	"OR10G4"	"OR6T1"	"OR8D4"	"OR2B11"	"KLK4"	"OR2T8"	"OR52D1"	"OR52H1"	"OR2G3"	"OR2G2"	"VWA9"	"RORC"	"OR51B2"	"OR1D2"	"OR7A17"	"OR56A4"	"OR6C76"	"OR52E6"	"OR6C70"	"COPB2"	"OR8B8"	"OR52L1"	"OR6A2"	"OR1G1"	"OR56A3"	"OR5P3"	"OR2V2"	"OR51J1"	"OR51M1"	"OR52A1"	"OR6X1"	"GNAL"	"OR13C8"	"OR10T2"	"OR4C12"	"OR10J5"	"OR13F1"	"OR5D14"	"OR9Q1"	"OR5D18"	"PIP5K1C"	"OR5L1"	"OR6N1"	"OR1J2"	"OR10H1"	"CCK"	"ABLIM1"	"PPP1R17"	"OR52B6"	"OR51I2"	"OR5W2"	"OR2AG2"	"ADCY2"	"OR1J4"	"OR2S2"	"OR6N2"	"OR51F1"	"OR7D2"	"OR5H1"	"OR5K4"	"OR5H2"	"OR11L1"	"OR52R1"	"OR8B4"	"RAB18"	"OR11G2"	"OR5B17"	"OR8D2"	"AP1B1"	"OR51D1"	"OR14A16"	"CCR9"	"OR8D1"	"PRIM1"	"OR2L13"	"OR5AC2"	"LPAR1"	"OR51A7"	"INPP5D"	"OR2M2"	"OR2L3"	"SDF4"	"OR52M1"	"OR2W3"	"OR10A3"	"SMC3"	"OR5D13"	"OR2AK2"	"RAB4A"	"KLHL12"	"OR6K6"	"OR6K3"	"OR10R2"	"RNF146"	"FANK1"	"MRPL9"	"LPAR3"	"OR5C1"	"OR1N2"	"HCRTR1"	"PRKG1"	"WDR31"	"OR13C5"	"OR13C3"	"OR8B2"	"RCC2"	"OR4D1"	"OR13J1"	"OR5D16"	"OR5L2"	"GNB1"	"OR6C3"	"OR6C1"	"OR10A4"	"OR51I1"	"OR51B6"	"OR51B4"	"OR52J3"	"OR51A4"	"OR51T1"	"OR1A2"	"GNG7"	"OR5K3"	"OR5H15"	"CCNK"	"OR2F1"	"MIR4647"	"CCL8"	"RCN2"	"OR10W1"	"MYH11"	"OR51E2"	"OR51E1"	"GNAT3"	"TMPRSS12"	"DNA2"	"OR6B2"	"INTS1"	"OR2A14"	"OR6B1"	"OR52B4"	"OR2A12"	"OR3A2"	"OR4E2"	"OR2A5"	"OR2A2"	"OR2F2"	"ANKRD44"	"OR7E24"	"PUM1"	"OR5K2"	"OR10J1"	"OR5H14"	"OR1M1"	"OR2V1"	"PAPSS2"	"OR52I1"	"OR4A47"	"OAZ3"	"CACNA2D2"	"KLHL2"	"EIF4E"	"OR10S1"	"OR52B2"	"OR5M11"	"GPR68"	"OR5M1"	"OR5M10"	"OR4D10"	"OR6J1"	"OR4D2"	"OR7G1"	"OR10G2"	"CDH8"	"RPS28"	"OR6C68"
"MBD3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RAB26"	0	0	0	0	0	0	0.927019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"STUB1"	0	0	0	0	0	0	0	0	0	0.807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PSMA2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9999956413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MRPL32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OPRD1"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9742	0	0	0	0	0	0	0	0	0	0.9771	0	0	0	0	0	0	0	0	0	0.9679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9686	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RAB7L1"	0	0.927019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.905425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RHOQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2B6"	0	0	0	0	0	0	0	0	0	0	0	0.9938	0.9932	0.9	0	0	0	0	0.9928	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0.9941	0.9928	0	0	0	0.9881	0.9932	0	0.9928	0	0.9926	0	0.9918	0.9947	0	0.9905	0	0.9779	0.9746	0.9932	0.9925	0.9931	0.9906	0.9944	0	0.993	0.9933	0.9933	0.9903	0.974	0.9918	0.9941	0.9926	0.9901	0.9939	0.9932	0.9984	0.9925	0.9884	0.9901	0.995	0.9911	0.9929	0.992	0.9918	0.9921	0.9915	0	0.9926	0.994	0.9918	0.9892	0.9936	0.9901	0.9919	0.9961	0.9924	0.99	0.993	0.9931	0.9937	0.9905	0.9911	0.9797	0.9744	0.9928	0.9893	0.9911	0.9927	0.9932	0.9916	0.9923	0.9959	0.9925	0	0.9914	0.9923	0	0.9928	0.9926	0	0.9926	0.9944	0	0.9918	0.9923	0.9912	0.992	0	0.9909	0.9946	0	0.9769	0.9804	0.9885	0.9831	0.9912	0.9898	0.9758	0.9809	0.9786	0.9769	0.9798	0.9784	0.9915	0.979	0.9786	0.9784	0	0.9795	0.9926	0.9791	0.9926	0.9922	0.9922	0.9921	0.9866	0.9922	0.9911	0	0.9927	0.9902	0.9932	0.9967	0	0.9922	0.9825	0.9784	0.9965	0.9961	0	0	0.9767	0.9916	0.9933	0.981	0.9931	0.9795	0.9929	0	0.9933	0.9814	0.9927	0.9926	0.9805	0.9912	0.9922	0.9679	0.9762	0.9714	0.9922	0.9	0.9941	0.9928	0.9913	0.9924	0.9938	0.9922	0.9916	0.9935	0	0.9934	0.9926	0.9925	0.9913	0	0	0	0.9795	0.981	0.9933	0.9912	0	0.9922	0.9934	0.9928	0.9742	0.9927	0.9906	0.9901	0.9918	0.9925	0.9807	0.993	0	0.9928	0.9926	0.9927	0	0.9797	0.9912	0	0.9934	0	0.9905	0.9922	0	0.9751	0	0.9928	0.9923	0	0.9802	0.9964	0.9927	0	0.9916	0.9931	0	0	0.9869	0.9894	0.9926	0	0	0	0	0.9926	0.9927	0	0	0	0.9941	0.9936	0.9932	0	0.9924	0.9926	0.9918	0.9933	0.9	0.9931	0.9925	0.9936	0.981	0.975	0.9749	0.9832	0.9727	0.9763	0.9893	0	0.9903	0.9897	0	0.9949	0	0	0	0.9907	0	0.98	0.9807	0	0	0	0.9908	0	0.9929	0.9921	0.9773	0.994	0.9918	0.9922	0.9933	0.9934	0.9947	0	0.992	0	0.9899	0.9923	0.9909	0.9924	0.9928	0	0.9795	0.991	0	0	0	0	0.992	0.982	0.9952	0	0.9933	0.9936	0.9907	0.9911	0.9922	0.9915	0.9929	0	0	0.9911
"ATXN1"	0	0	0.807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
