Gene Symbol	Gene Id	Gene Description	Disease Id	Disease Code	Disease Name	Psychiatric disorder	Evidence Index	# Publications	Disease Id	# Publications Validated	Gene Id	Disease Id	# Publications Validated	Gene Id	# Publications Validated	Disease Id	Gene Id	# Publications Validated
SLC6A4	6532	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	70	umls:C0005586	5	6532	umls:C0005586	5	6532	5	umls:C0005586	6532	5
COMT	1312	catechol-O-methyltransferase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	55	umls:C0005586	5	1312	umls:C0005586	5	1312	5	umls:C0005586	1312	5
BDNF	627	brain-derived neurotrophic factor	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	99	umls:C0005586	5	627	umls:C0005586	5	627	5	umls:C0005586	627	5
ANK3	288	ankyrin 3, node of Ranvier (ankyrin G)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	41	umls:C0005586	5	288	umls:C0005586	5	288	5	umls:C0005586	288	5
S100B	6285	S100 calcium binding protein B	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	6285	umls:C0005586	4	6285	4	umls:C0005586	6285	4
DRD1	1812	dopamine receptor D1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	15	umls:C0005586	5	1812	umls:C0005586	5	1812	5	umls:C0005586	1812	5
NDUFV2	4729	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	10	umls:C0005586	5	4729	umls:C0005586	5	4729	5	umls:C0005586	4729	5
MTHFR	4524	methylenetetrahydrofolate reductase (NAD(P)H)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	16	umls:C0005586	5	4524	umls:C0005586	5	4524	5	umls:C0005586	4524	5
RELN	5649	reelin	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	14	umls:C0005586	5	5649	umls:C0005586	5	5649	5	umls:C0005586	5649	5
NR3C1	2908	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	18	umls:C0005586	5	2908	umls:C0005586	5	2908	5	umls:C0005586	2908	5
NTRK2	4915	neurotrophic tyrosine kinase, receptor, type 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	4915	umls:C0005586	3	4915	3	umls:C0005586	4915	3
INS	3630	insulin	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	12	umls:C0005586	5	3630	umls:C0005586	5	3630	5	umls:C0005586	3630	5
ADRBK2	157	adrenergic, beta, receptor kinase 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	7	umls:C0005586	5	157	umls:C0005586	5	157	5	umls:C0005586	157	5
SP4	6671	Sp4 transcription factor	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	6671	umls:C0005586	2	6671	2	umls:C0005586	6671	2
SNAP25	6616	synaptosomal-associated protein, 25kDa	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	6616	umls:C0005586	3	6616	3	umls:C0005586	6616	3
DRD5	1816	dopamine receptor D5	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	6	umls:C0005586	5	1816	umls:C0005586	5	1816	5	umls:C0005586	1816	5
