hgnc_symbol	description
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:HGNC Symbol;Acc:1400]
CDH3	cadherin 3, type 1, P-cadherin (placental) [Source:HGNC Symbol;Acc:1762]
ANKRD44	ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:25259]
MBD3	methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:6918]
ARHGAP15	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:21030]
ADCY2	adenylate cyclase 2 (brain) [Source:HGNC Symbol;Acc:233]
SDF4	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:24188]
MECOM	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:3498]
CCNK	cyclin K [Source:HGNC Symbol;Acc:1596]
ANGPT2	angiopoietin 2 [Source:HGNC Symbol;Acc:485]
ABLIM1	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:78]
RAB18	RAB18, member RAS oncogene family [Source:HGNC Symbol;Acc:14244]
AP1B1	adaptor-related protein complex 1, beta 1 subunit [Source:HGNC Symbol;Acc:554]
RBBP8	retinoblastoma binding protein 8 [Source:HGNC Symbol;Acc:9891]
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:3809]
STUB1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:11427]
RAB11A	RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:9760]
PPP1R17	protein phosphatase 1, regulatory subunit 17 [Source:HGNC Symbol;Acc:16973]
PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2 [Source:HGNC Symbol;Acc:9531]
MRPL32	mitochondrial ribosomal protein L32 [Source:HGNC Symbol;Acc:14035]
SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:2468]
BLMH	bleomycin hydrolase [Source:HGNC Symbol;Acc:1059]
KLHL2	kelch-like family member 2 [Source:HGNC Symbol;Acc:6353]
CPT1A	carnitine palmitoyltransferase 1A (liver) [Source:HGNC Symbol;Acc:2328]
GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa [Source:HGNC Symbol;Acc:4655]
OPRD1	opioid receptor, delta 1 [Source:HGNC Symbol;Acc:8153]
KLHL12	kelch-like family member 12 [Source:HGNC Symbol;Acc:19360]
RAB7L1	RAB7, member RAS oncogene family-like 1 [Source:HGNC Symbol;Acc:9789]
RCN2	reticulocalbin 2, EF-hand calcium binding domain [Source:HGNC Symbol;Acc:9935]
RNF146	ring finger protein 146 [Source:HGNC Symbol;Acc:21336]
GPR68	G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:4519]
RHOQ	ras homolog family member Q [Source:HGNC Symbol;Acc:17736]
HCRTR1	hypocretin (orexin) receptor 1 [Source:HGNC Symbol;Acc:4848]
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:8975]
CDK2	cyclin-dependent kinase 2 [Source:HGNC Symbol;Acc:1771]
ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:10548]
MED1	mediator complex subunit 1 [Source:HGNC Symbol;Acc:9234]
TAS2R4	taste receptor, type 2, member 4 [Source:HGNC Symbol;Acc:14911]
FOXA1	forkhead box A1 [Source:HGNC Symbol;Acc:5021]
TRAF7	TNF receptor-associated factor 7, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:20456]
MYH11	myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:7569]
PUM1	pumilio RNA-binding family member 1 [Source:HGNC Symbol;Acc:14957]
ANXA1	annexin A1 [Source:HGNC Symbol;Acc:533]
SDS	serine dehydratase [Source:HGNC Symbol;Acc:10691]
PSMB7	proteasome (prosome, macropain) subunit, beta type, 7 [Source:HGNC Symbol;Acc:9544]
DNA2	DNA replication helicase/nuclease 2 [Source:HGNC Symbol;Acc:2939]
VWA9	von Willebrand factor A domain containing 9 [Source:HGNC Symbol;Acc:25372]
RORC	RAR-related orphan receptor C [Source:HGNC Symbol;Acc:10260]
CGN	cingulin [Source:HGNC Symbol;Acc:17429]
MRPL9	mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:14277]
OAZ3	ornithine decarboxylase antizyme 3 [Source:HGNC Symbol;Acc:8097]
CENPC	centromere protein C [Source:HGNC Symbol;Acc:1854]
WDR31	WD repeat domain 31 [Source:HGNC Symbol;Acc:21421]
CDH8	cadherin 8, type 2 [Source:HGNC Symbol;Acc:1767]
TEX12	testis expressed 12 [Source:HGNC Symbol;Acc:11734]
SEC24D	SEC24 family member D [Source:HGNC Symbol;Acc:10706]
EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:3287]
MCHR2	melanin-concentrating hormone receptor 2 [Source:HGNC Symbol;Acc:20867]
CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:2494]
INTS1	integrator complex subunit 1 [Source:HGNC Symbol;Acc:24555]
OR1Q1	olfactory receptor, family 1, subfamily Q, member 1 [Source:HGNC Symbol;Acc:8223]
KLK4	kallikrein-related peptidase 4 [Source:HGNC Symbol;Acc:6365]
KLK2	kallikrein-related peptidase 2 [Source:HGNC Symbol;Acc:6363]
RAB26	RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:14259]
RAB4A	RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:9781]
INPP5D	inositol polyphosphate-5-phosphatase, 145kDa [Source:HGNC Symbol;Acc:6079]
OR4K15	olfactory receptor, family 4, subfamily K, member 15 [Source:HGNC Symbol;Acc:15353]
OR9K2	olfactory receptor, family 9, subfamily K, member 2 [Source:HGNC Symbol;Acc:15339]
OR1M1	olfactory receptor, family 1, subfamily M, member 1 [Source:HGNC Symbol;Acc:8220]
LPAR3	lysophosphatidic acid receptor 3 [Source:HGNC Symbol;Acc:14298]
OR10V1	olfactory receptor, family 10, subfamily V, member 1 [Source:HGNC Symbol;Acc:15136]
GNG7	guanine nucleotide binding protein (G protein), gamma 7 [Source:HGNC Symbol;Acc:4410]
RCC2	regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:30297]
OR13D1	olfactory receptor, family 13, subfamily D, member 1 [Source:HGNC Symbol;Acc:14695]
CHRM2	cholinergic receptor, muscarinic 2 [Source:HGNC Symbol;Acc:1951]
SLC2A4	solute carrier family 2 (facilitated glucose transporter), member 4 [Source:HGNC Symbol;Acc:11009]
COPB2	coatomer protein complex, subunit beta 2 (beta prime) [Source:HGNC Symbol;Acc:2232]
PRKG1	protein kinase, cGMP-dependent, type I [Source:HGNC Symbol;Acc:9414]
PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma [Source:HGNC Symbol;Acc:8996]
TMPRSS12	transmembrane (C-terminal) protease, serine 12 [Source:HGNC Symbol;Acc:28779]
OR13F1	olfactory receptor, family 13, subfamily F, member 1 [Source:HGNC Symbol;Acc:14723]
CCK	cholecystokinin [Source:HGNC Symbol;Acc:1569]
PRIM1	primase, DNA, polypeptide 1 (49kDa) [Source:HGNC Symbol;Acc:9369]
PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:8604]
FANK1	fibronectin type III and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:23527]
PPP2R2A	protein phosphatase 2, regulatory subunit B, alpha [Source:HGNC Symbol;Acc:9304]
RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:10418]
OR5M10	olfactory receptor, family 5, subfamily M, member 10 [Source:HGNC Symbol;Acc:15290]
	Proteasome subunit alpha type-2  [Source:UniProtKB/TrEMBL;Acc:H3BT36]
MIR4647	microRNA 4647 [Source:HGNC Symbol;Acc:41594]
